# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 15:47:10+0200
# parameter filename: "TOV_90moreprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90moreprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-13.47.05-43283
# Run ID: run-TOV_90moreprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-13.47.05-43283
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
28160 20.625 1123.57981385445 1105.76081385528 70.7230129241943 66.0834228992462 64.2101316452026 0 6.51659917831421 165 197836.604498117 197836.604498117 13073720 13073720 130661.512693806 130661.512693806 8634560 8634560 477.515229708207 1060119.73875085 14904.9239256252 1045214.81482523 3114 6904648 97288 6807360 0 0 0 0 70.1426389217377 1688996896.65689 35411
28672 21 1120.87478075401 1105.97884458355 72.0869100093842 67.447319984436 65.5063178539276 0 6.63636898994446 168 197360.310284704 197360.310284704 13311424 13311424 130346.943392691 130346.943392691 8791552 8791552 485.670578649965 1084751.16393302 14987.2530723882 1069763.91086063 3260 7392422 98822 7293600 0 0 0 0 71.4959506988525 1688996898.02079 36050
29184 21.375 1102.35012162607 1105.71766130026 74.4449980258942 69.805408000946 67.7961342334747 0 6.65125489234924 171 194098.543193335 194098.543193335 13549128 13549128 128192.703921718 128192.703921718 8948544 8948544 493.618173339918 1112020.22342971 15050.842237751 1096969.38119196 3286 7393883 100283 7293600 0 0 0 0 73.8417196273804 1688996900.37888 36689
29696 21.75 1096.06543204922 1105.40322733391 76.0769309997559 71.4373409748077 69.4073269367218 0 6.67203307151794 174 192991.953673946 192991.953673946 13786832 13786832 127461.855043164 127461.855043164 9105536 9105536 495.981465876576 1108794.60461343 15236.4366819358 1093558.1679315 3312 7395430 101830 7293600 0 0 0 0 75.4633316993713 1688996902.01081 37328
30208 22.125 1086.47198600522 1104.80135085863 77.9502699375153 73.3106799125671 71.2670557498932 0 6.68595504760742 177 191302.768119545 191302.768119545 14024536 14024536 126346.229649579 126346.229649579 9262528 9262528 498.861761182946 1106763.12210664 15431.9459326944 1091331.17617395 3338 7396949 103349 7293600 0 0 0 0 77.325362443924 1688996903.88415 37967
30720 22.5 1089.49046603953 1104.54139456777 78.986270904541 74.3466808795929 72.2137877941132 0 6.82620596885681 180 191834.253140341 191834.253140341 14262240 14262240 126697.249810725 126697.249810725 9419520 9419520 504.984648058272 1126707.12877096 15457.4028894679 1111249.72588149 3484 7884731 104891 7779840 0 0 0 0 78.3500814437866 1688996904.92015 38606
31232 22.875 1080.48221334012 1103.83660314779 80.8555600643158 76.2159700393677 74.01802110672 0 6.84010577201843 183 190248.106696147 190248.106696147 14499944 14499944 125649.67676792 125649.67676792 9576512 9576512 512.757590376166 1153342.45975146 15529.5641689968 1137812.89558246 3510 7886238 106398 7779840 0 0 0 0 80.2093546390533 1688996906.78944 39245
31744 23.25 1084.96499685125 1103.55796156381 81.7849359512329 77.1453459262848 74.9340600967407 0 6.85355687141418 186 191037.421934466 191037.421934466 14737648 14737648 126170.981322719 126170.981322719 9733504 9733504 515.554518140047 1151323.15451725 15725.2886036986 1135597.86591355 3536 7887781 107941 7779840 0 0 0 0 81.1283044815063 1688996907.71881 39884
32256 23.625 1088.44659544977 1103.31210646609 82.7784719467163 78.1388819217682 75.9146072864532 0 6.86741042137146 189 191650.451499846 191650.451499846 14975352 14975352 126575.857713222 126575.857713222 9890496 9890496 518.366864165943 1149366.33958888 15917.4175785413 1133448.92201033 3562 7889308 109468 7779840 0 0 0 0 82.1112036705017 1688996908.71235 40523
32768 24 1090.86862299113 1103.10655398161 83.8425281047821 79.202938079834 76.912379026413 0 6.98399376869202 192 192076.91493295 192076.91493295 15213056 15213056 126857.516193054 126857.516193054 10047488 10047488 525.818414408126 1172119.66267132 15988.6892398677 1156130.97343145 3708 8377082 111002 8266080 0 0 0 0 83.1314206123352 1688996909.77641 41162
