# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on May 15 2023 at 09:48:48+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p028.laboratori.local-o.rossi-2023.05.15-07.48.40-12045
# Run ID: run-TOV_example-libaas504-p028.laboratori.local-o.rossi-2023.05.15-07.48.40-12045
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
18944 18.5 1601.56051053301 1587.42917604061 48.1875348091125 41.5844419002533 42.2930552959442 0 5.89702343940735 111 212943.485480469 212943.485480469 8855136 8855136 104549.870127595 104549.870127595 4347648 4347648 366.783868731763 1008150.2508787 11421.025359339 996729.225519359 2166 5942729 67529 5875200 0 0 0 0 47.7930099964142 1684136969.68987 23909
19456 19 1611.4538764748 1587.69769005532 49.0492348670959 42.4461419582367 43.1410231590271 0 5.9106388092041 114 214258.907416089 214258.907416089 9094464 9094464 105195.709056275 105195.709056275 4465152 4465152 370.332023988214 1006058.90474139 11646.3328330005 994412.571908389 2192 5944210 69010 5875200 0 0 0 0 48.6446442604065 1684136970.55157 24548
19968 19.5 1619.66676290928 1588.12794774481 49.9453418254852 43.342248916626 44.0235793590546 0 5.92444467544556 117 215350.892796418 215350.892796418 9333792 9333792 105731.846282718 105731.846282718 4582656 4582656 373.87517863993 1004000.58828831 11863.5288730763 992137.05941523 2218 5945662 70462 5875200 0 0 0 0 49.5302970409393 1684136971.44768 25187
20480 20 1627.9383147912 1588.76009441958 50.8308129310608 44.2277200222015 44.8438558578491 0 6.04460549354553 120 216450.678334639 216450.678334639 9573120 9573120 106271.81318957 106271.81318957 4700160 4700160 384.168446821046 1019292.59311131 11982.8819753864 1007309.71113592 2364 6534661 71941 6462720 0 0 0 0 50.4025049209595 1684136972.33315 25826
20992 20.5 1596.70972385504 1588.60429053328 52.8231408596039 46.2200479507446 46.767566204071 0 6.05837869644165 123 212298.524883766 212298.524883766 9812448 9812448 104233.210773257 104233.210773257 4817664 4817664 394.017105844772 1079319.36633434 12084.5673883548 1067234.79894599 2390 6536108 73388 6462720 0 0 0 0 52.386794090271 1684136974.32547 26465
21504 21 1602.11051149336 1588.6612542241 53.7908489704132 47.187756061554 47.7213826179504 0 6.07219934463501 126 213016.613608157 213016.613608157 10051776 10051776 104585.774190286 104585.774190286 4935168 4935168 397.39902323065 1077094.85815789 12302.7290479502 1064792.12910994 2416 6537590 74870 6462720 0 0 0 0 53.3439133167267 1684136975.29318 27104
22016 21.5 1611.67234385034 1588.900536713 54.627742767334 48.0246498584747 48.544365644455 0 6.08609414100647 129 214287.954838342 214287.954838342 10291104 10291104 105209.97060655 105209.97060655 5052672 5052672 400.764238473874 1074868.75594282 12511.4715827414 1062357.28436008 2442 6539039 76319 6462720 0 0 0 0 54.1684036254883 1684136976.13008 27743
22528 22 1618.99784177242 1589.31687443674 55.522243976593 48.9191510677338 49.359482049942 0 6.22078394889832 132 215261.953042061 215261.953042061 10530432 10530432 105688.179110904 105688.179110904 5170176 5170176 409.556628998584 1086500.35157835 12592.2436926217 1073908.10788573 2588 7128043 77803 7050240 0 0 0 0 55.0513834953308 1684136977.02458 28382
23040 22.5 1587.68785190165 1588.82935808361 57.620677947998 51.0175850391388 51.3893506526947 0 6.23447155952454 135 211098.976788843 211098.976788843 10769760 10769760 103644.26297214 103644.26297214 5287680 5287680 418.851374083207 1144103.92234949 12685.2588949353 1131418.66345456 2614 7129495 79255 7050240 0 0 0 0 57.1399824619293 1684136979.12301 29021
23552 23 1594.87734511823 1588.7715478336 58.5193109512329 51.9162180423737 52.2723286151886 0 6.2496030330658 138 212054.89180692 212054.89180692 11009088 11009088 104113.593089318 104113.593089318 5405184 5405184 421.963735160672 1141476.25468 12892.9450520906 1128583.30962791 2640 7130981 80741 7050240 0 0 0 0 58.0280559062958 1684136980.02165 29660
