# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 15:26:43+0200
# parameter filename: "TOV_90_controlres.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90_controlres-libaas504-p028.laboratori.local-o.rossi-2023.07.10-13.26.38-34751
# Run ID: run-TOV_90_controlres-libaas504-p028.laboratori.local-o.rossi-2023.07.10-13.26.38-34751
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
10240 10 1700.49688380832 1651.5606612266 25.9012088775635 21.1702828407288 20.6465723514557 0 5.31718134880066 60 226098.065671154 226098.065671154 4786560 4786560 111008.436575007 111008.436575007 2350080 2350080 224.563581921821 596825.105679188 8179.25270120165 588645.852977986 1244 3568300 43180 3525120 0 0 0 0 25.689742565155 1688995624.58932 13046
10752 10.5 1645.16491787026 1649.31858374987 27.7073459625244 22.9764199256897 22.3795182704926 0 5.33028173446655 63 218741.12748003 218741.12748003 5025888 5025888 107396.365838571 107396.365838571 2467584 2467584 237.620297273013 669981.689786723 8338.67057420864 661643.019212514 1270 3569755 44635 3525120 0 0 0 0 27.4856443405151 1688995626.39545 13685
11264 11 1664.76480280301 1649.15191224412 28.5180699825287 23.787143945694 23.1772470474243 0 5.34351491928101 66 221347.128180688 221347.128180688 5265216 5265216 108675.84632698 108675.84632698 2585088 2585088 241.910285306014 668631.977392116 8598.86211507638 660033.11527704 1296 3571246 46126 3525120 0 0 0 0 28.2850663661957 1688995627.20618 14324
11776 11.5 1680.87602777177 1649.54494114156 29.3609399795532 24.6300139427185 24.0059769153595 0 5.35738396644592 69 223489.276652535 223489.276652535 5504544 5504544 109727.587092941 109727.587092941 2702592 2702592 246.126814358979 667135.880709925 8845.62590482256 658290.254805102 1322 3572696 47576 3525120 0 0 0 0 29.1180548667908 1688995628.04905 14963
12288 12 1689.81518482399 1650.50198212141 30.2958519458771 25.5649259090424 24.8463191986084 0 5.50313138961792 72 224677.826974198 224677.826974198 5743872 5743872 110311.13526531 110311.13526531 2820096 2820096 257.636767244621 684372.619261577 8967.92482337028 675404.694438206 1468 4161711 49071 4112640 0 0 0 0 30.042181968689 1688995628.98396 15602
12800 12.5 1643.44828223341 1649.03474472184 32.1123778820038 27.3814518451691 26.5788958072662 0 5.53588676452637 75 218512.883605754 218512.883605754 5983200 5983200 107284.303864197 107284.303864197 2937600 2937600 269.269870196637 752321.403371935 9093.18930113034 743228.214070805 1494 4163166 50526 4112640 0 0 0 0 31.8485708236694 1688995630.80048 16241
13312 13 1651.02869933862 1648.53961376487 33.0768899917603 28.3459639549255 27.530463218689 0 5.54896879196167 78 219520.775864062 219520.775864062 6222528 6222528 107779.153492825 107779.153492825 3055104 3055104 273.329129190058 750836.560255165 9342.95216004539 741493.608095119 1520 4164661 52021 4112640 0 0 0 0 32.8024623394012 1688995631.765 16880
13824 13.5 1667.29150463673 1648.60467767791 33.8799979686737 29.149071931839 28.3199343681335 0 5.56385779380798 81 221683.078456499 221683.078456499 6461856 6461856 108840.789422685 108840.789422685 3172608 3172608 277.334957076785 749254.738667968 9579.74653290394 739674.992135064 1546 4166110 53470 4112640 0 0 0 0 33.5950164794922 1688995632.5681 17519
14336 14 1678.79389629185 1649.09070854636 34.7524790763855 30.0215530395508 29.1267886161804 0 5.67839670181274 84 223212.436450965 223212.436450965 6701184 6701184 109591.665549932 109591.665549932 3290112 3290112 289.386700444349 768423.899355887 9733.02750788104 758690.871848006 1692 4755113 54953 4700160 0 0 0 0 34.4569232463837 1688995633.44059 18158
14848 14.5 1643.28366314942 1647.82179348502 36.4965920448303 31.7656660079956 30.8073580265045 0 5.69192790985107 87 218490.995852347 218490.995852347 6940512 6940512 107273.557530394 107273.557530394 3407616 3407616 301.270785219763 836027.307837773 9877.42810701549 826149.879730758 1718 4756561 56401 4700160 0 0 0 0 36.1908364295959 1688995635.1847 18797
