# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
163840 40 1.10622155531665e-10
164352 40.125 1.10622166015084e-10
164864 40.25 1.10622166015084e-10
165376 40.375 1.10622166015084e-10
165888 40.5 1.10622166015084e-10
166400 40.625 1.10622166015084e-10
166912 40.75 1.10622166015084e-10
167424 40.875 1.10622166015084e-10
167936 41 1.10622166015084e-10
168448 41.125 1.10622166015084e-10
168960 41.25 1.10622166015084e-10
169472 41.375 1.10622166015084e-10
169984 41.5 1.10622166015084e-10
170496 41.625 1.10622166015084e-10
171008 41.75 1.10622166015084e-10
171520 41.875 1.10622166015084e-10
172032 42 1.10622166015084e-10
172544 42.125 1.10622166015084e-10
173056 42.25 1.10622166015084e-10
173568 42.375 1.10622166015084e-10
174080 42.5 1.10622166015084e-10
174592 42.625 1.10622166015084e-10
175104 42.75 1.10622166015084e-10
175616 42.875 1.10622166015084e-10
176128 43 1.10622166015084e-10
176640 43.125 1.10622166015084e-10
177152 43.25 1.10622166015084e-10
177664 43.375 1.10622166015084e-10
178176 43.5 1.10622166015084e-10
178688 43.625 1.10622166015084e-10
179200 43.75 1.10622166015084e-10
179712 43.875 1.10622166015084e-10
180224 44 1.10622166015084e-10
180736 44.125 1.10622166015084e-10
181248 44.25 1.10622166015084e-10
181760 44.375 1.10622166015084e-10
182272 44.5 1.10622166015084e-10
182784 44.625 1.10622166015084e-10
183296 44.75 1.10622166015084e-10
183808 44.875 1.10622166015084e-10
184320 45 1.10622166015084e-10
184832 45.125 1.10622166015084e-10
185344 45.25 1.10622166015084e-10
185856 45.375 1.10622166015084e-10
186368 45.5 1.10622166015084e-10
186880 45.625 1.10622166015084e-10
187392 45.75 1.10622166015084e-10
187904 45.875 1.10622166015084e-10
188416 46 1.10622166015084e-10
188928 46.125 1.10622166015084e-10
189440 46.25 1.10622166015084e-10
189952 46.375 1.10622166015084e-10
190464 46.5 1.10622166015084e-10
190976 46.625 1.10622166015084e-10
191488 46.75 1.10622166015084e-10
192000 46.875 1.10622166015084e-10
192512 47 1.10622166015084e-10
193024 47.125 1.10622166015084e-10
193536 47.25 1.10622166015084e-10
194048 47.375 1.10622166015084e-10
194560 47.5 1.10622166015084e-10
195072 47.625 1.10622166015084e-10
195584 47.75 1.10622166015084e-10
196096 47.875 1.10622166015084e-10
196608 48 1.10622166015084e-10
197120 48.125 1.10622166015084e-10
197632 48.25 1.10622166015084e-10
198144 48.375 1.10622166015084e-10
198656 48.5 1.10622166015084e-10
199168 48.625 1.10622166015084e-10
199680 48.75 1.10622166015084e-10
200192 48.875 1.10622166015084e-10
200704 49 1.10622166015084e-10
201216 49.125 1.10622166015084e-10
201728 49.25 1.10622166015084e-10
202240 49.375 1.10622166015084e-10
202752 49.5 1.10622166015084e-10
203264 49.625 1.10622166015084e-10
203776 49.75 1.10622166015084e-10
204288 49.875 1.10622166015084e-10
204800 50 1.10622166015084e-10
205312 50.125 1.10622166015084e-10
205824 50.25 1.10622166015084e-10
206336 50.375 1.10622166015084e-10
206848 50.5 1.10622166015084e-10
207360 50.625 1.10622166015084e-10
207872 50.75 1.10622166015084e-10
208384 50.875 1.10622166015084e-10
208896 51 1.10622166015084e-10
209408 51.125 1.10622166015084e-10
209920 51.25 1.10622166015084e-10
210432 51.375 1.10622166015084e-10
210944 51.5 1.10622166015084e-10
211456 51.625 1.10622166015084e-10
211968 51.75 1.10622166015084e-10
212480 51.875 1.10622166015084e-10
212992 52 1.10622166015084e-10
213504 52.125 1.10622166015084e-10
214016 52.25 1.10622166015084e-10
214528 52.375 1.10622166015084e-10
215040 52.5 1.10622166015084e-10
215552 52.625 1.10622166015084e-10
216064 52.75 1.10622166015084e-10
216576 52.875 1.10622166015084e-10
217088 53 1.10622166015084e-10
217600 53.125 1.10622166015084e-10
218112 53.25 1.10622166015084e-10
218624 53.375 1.10622166015084e-10
219136 53.5 1.10622166015084e-10
219648 53.625 1.10622166015084e-10
220160 53.75 1.10622166015084e-10
220672 53.875 1.10622166015084e-10
221184 54 1.10622166015084e-10
221696 54.125 1.10622166015084e-10
222208 54.25 1.10622166015084e-10
222720 54.375 1.10622166015084e-10
223232 54.5 1.10622166015084e-10
223744 54.625 1.10622166015084e-10
224256 54.75 1.10622166015084e-10
224768 54.875 1.10622166015084e-10
225280 55 1.10622166015084e-10
225792 55.125 1.10622166015084e-10
226304 55.25 1.10622166015084e-10
226816 55.375 1.10622166015084e-10
227328 55.5 1.10622166015084e-10
227840 55.625 1.10622166015084e-10
228352 55.75 1.10622166015084e-10
228864 55.875 1.10622166015084e-10
229376 56 1.10622166015084e-10
229888 56.125 1.10622166015084e-10
230400 56.25 1.10622166015084e-10
230912 56.375 1.10622166015084e-10
231424 56.5 1.10622166015084e-10
231936 56.625 1.10622166015084e-10
232448 56.75 1.10622166015084e-10
232960 56.875 1.10622166015084e-10
233472 57 1.10622166015084e-10
233984 57.125 1.10622166015084e-10
234496 57.25 1.10622166015084e-10
235008 57.375 1.10622166015084e-10
235520 57.5 1.10622166015084e-10
236032 57.625 1.10622166015084e-10
236544 57.75 1.10622166015084e-10
237056 57.875 1.10622166015084e-10
237568 58 1.10622166015084e-10
238080 58.125 1.10622166015084e-10
238592 58.25 1.10622166015084e-10
239104 58.375 1.10622166015084e-10
239616 58.5 1.10622166015084e-10
240128 58.625 1.10622166015084e-10
240640 58.75 1.10622166015084e-10
