# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
1065472 260.125 -0.00189832376348371
1065984 260.25 -0.00189770730343924
1066496 260.375 -0.00189715190327278
1067008 260.5 -0.00189668005330422
1067520 260.625 -0.00189626848267725
1068032 260.75 -0.00189587457129679
1068544 260.875 -0.00189547702985658
1069056 261 -0.00189509051098038
1069568 261.125 -0.00189474664290944
1070080 261.25 -0.0018944685046833
1070592 261.375 -0.00189426042100638
1071104 261.5 -0.00189411016968859
1071616 261.625 -0.00189399562347561
1072128 261.75 -0.00189389771558571
1072640 261.875 -0.00189381647489431
1073152 262 -0.00189377336987309
1073664 262.125 -0.00189379454951499
1074176 262.25 -0.00189390236866152
1074688 262.375 -0.0018940971628308
1075200 262.5 -0.00189433956472095
1075712 262.625 -0.00189458150674288
1076224 262.75 -0.00189480581959222
1076736 262.875 -0.00189502138852692
1077248 263 -0.00189523718509834
1077760 263.125 -0.00189545746819156
1078272 263.25 -0.0018956908173789
1078784 263.375 -0.00189602070589804
1079296 263.5 -0.0018965171568589
1079808 263.625 -0.00189711609189726
1080320 263.75 -0.00189778340671358
1080832 263.875 -0.00189850942515943
1081344 264 -0.00189927728641092
1081856 264.125 -0.00190003611214492
1082368 264.25 -0.0019007093676133
1082880 264.375 -0.00190123133803193
1083392 264.5 -0.00190158658573686
1083904 264.625 -0.00190181396411324
1084416 264.75 -0.00190195584943696
1084928 264.875 -0.00190201918130299
1085440 265 -0.00190203479968071
1085952 265.125 -0.00190199743450746
1086464 265.25 -0.00190194731922285
1086976 265.375 -0.00190191777138165
1087488 265.5 -0.00190189022814066
1088000 265.625 -0.00190183627771089
1088512 265.75 -0.00190177010783723
1089024 265.875 -0.00190172121490296
1089536 266 -0.00190167229491343
1090048 266.125 -0.00190157015117234
1090560 266.25 -0.00190139918916606
1091072 266.375 -0.00190120194653266
1091584 266.5 -0.00190101678575711
1092096 266.625 -0.00190083026475538
1092608 266.75 -0.00190060631089321
1093120 266.875 -0.00190033456485895
1093632 267 -0.00190003092004609
1094144 267.125 -0.00189970916695884
1094656 267.25 -0.00189937098556938
1095168 267.375 -0.00189901352018551
1095680 267.5 -0.00189863145876862
1096192 267.625 -0.00189821689403016
1096704 267.75 -0.00189776848088925
1097216 267.875 -0.0018972982395068
1097728 268 -0.00189682551040806
1098240 268.125 -0.00189636321719462
1098752 268.25 -0.00189590779497418
