# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
76288 18.625 -1.49035316223302e-05 -1.49035895011281e-05 -1.49034908880218e-05
76800 18.75 -1.48547731140004e-05 -1.48548029279985e-05 -1.48547747356546e-05
77312 18.875 -1.44278730331601e-05 -1.4427855010667e-05 -1.44278963332807e-05
77824 19 -1.4285043058403e-05 -1.4285017318786e-05 -1.42850034284218e-05
78336 19.125 -1.37808218840047e-05 -1.37808188065025e-05 -1.37808442811003e-05
78848 19.25 -1.37093179350434e-05 -1.37093091839473e-05 -1.37093242456224e-05
79360 19.375 -1.37739999407209e-05 -1.37740062278174e-05 -1.37740141056744e-05
79872 19.5 -1.34499532045567e-05 -1.34499639251012e-05 -1.3450017638448e-05
80384 19.625 -1.36999860114562e-05 -1.36999991397243e-05 -1.37000033511412e-05
80896 19.75 -1.37297237043044e-05 -1.37296916008717e-05 -1.37297115017035e-05
81408 19.875 -1.36795730717985e-05 -1.36795453334868e-05 -1.36795871061104e-05
81920 20 -1.33241739724077e-05 -1.33241637325966e-05 -1.33241632184957e-05
82432 20.125 -1.34492113036367e-05 -1.34492459286137e-05 -1.344917022254e-05
82944 20.25 -1.31927706835819e-05 -1.31927767323177e-05 -1.31927664144791e-05
83456 20.375 -1.29715644664425e-05 -1.2971561146241e-05 -1.29715721663555e-05
83968 20.5 -1.31351724176115e-05 -1.31351715528864e-05 -1.31351645403385e-05
84480 20.625 -1.32031205997395e-05 -1.3203148705956e-05 -1.32031234938404e-05
84992 20.75 -1.29414317280754e-05 -1.29414308414549e-05 -1.29414136244222e-05
85504 20.875 -1.27625877511007e-05 -1.2762611831966e-05 -1.27625996730514e-05
86016 21 -1.36086781085122e-05 -1.3608687452519e-05 -1.36086475242059e-05
86528 21.125 -1.48579899445996e-05 -1.48579955224246e-05 -1.485797734191e-05
87040 21.25 -1.46530366658437e-05 -1.46530425236336e-05 -1.46530471451323e-05
87552 21.375 -1.40230533300772e-05 -1.40230769626764e-05 -1.40230568560664e-05
88064 21.5 -1.41033547280783e-05 -1.41033581237147e-05 -1.41033563993016e-05
88576 21.625 -1.39499646339859e-05 -1.39500005885981e-05 -1.39499943582655e-05
89088 21.75 -1.39079849653593e-05 -1.39079633868538e-05 -1.39080248578799e-05
89600 21.875 -1.3609540325005e-05 -1.3609562079934e-05 -1.36096212356406e-05
90112 22 -1.35984624134775e-05 -1.35984995018725e-05 -1.35985063867988e-05
90624 22.125 -1.34374424169518e-05 -1.34375191154487e-05 -1.34374830398127e-05
91136 22.25 -1.30707491969269e-05 -1.30707249782878e-05 -1.30707455927471e-05
91648 22.375 -1.30829042638452e-05 -1.30829857621036e-05 -1.30830399440467e-05
92160 22.5 -1.28584436039736e-05 -1.28584993010509e-05 -1.28585318452306e-05
92672 22.625 -1.26194970646318e-05 -1.26195400636917e-05 -1.26195553561445e-05
93184 22.75 -1.22859837842883e-05 -1.22860078008944e-05 -1.22860614607705e-05
93696 22.875 -1.18744002619994e-05 -1.18744317366662e-05 -1.18744295751744e-05
94208 23 -1.18393583083066e-05 -1.18393799538233e-05 -1.18393684054442e-05
94720 23.125 -1.13754196336673e-05 -1.13754352846589e-05 -1.13754097452885e-05
95232 23.25 -1.11318930172106e-05 -1.11319044593889e-05 -1.11319135676439e-05
95744 23.375 -1.0602343892235e-05 -1.06023648076598e-05 -1.06023457156005e-05
96256 23.5 -1.10637469606567e-05 -1.10636745463502e-05 -1.1063748238258e-05
96768 23.625 -1.15355741822306e-05 -1.15355904981905e-05 -1.1535594583231e-05
97280 23.75 -1.0662670089574e-05 -1.06626480008484e-05 -1.0662624182101e-05
97792 23.875 -1.1024633918079e-05 -1.10246360989014e-05 -1.10246279763499e-05
98304 24 -1.1959960862543e-05 -1.19599288773283e-05 -1.1959832564904e-05
98816 24.125 -1.42768322127099e-05 -1.42768515150324e-05 -1.4276893495998e-05
99328 24.25 -1.57045216705744e-05 -1.57045707117441e-05 -1.57046977752207e-05
99840 24.375 -1.54457266399902e-05 -1.54458406601157e-05 -1.54458618827311e-05
100352 24.5 -1.31139064078003e-05 -1.31139837351544e-05 -1.31139567398418e-05
100864 24.625 -1.26201179089858e-05 -1.26200977028442e-05 -1.26199961420808e-05
101376 24.75 -1.41585729939736e-05 -1.41585348236947e-05 -1.41585017370208e-05
101888 24.875 -1.55170010477356e-05 -1.55169830088454e-05 -1.55169504956007e-05
102400 25 -1.6124400799656e-05 -1.61243951907088e-05 -1.61243534355694e-05
102912 25.125 -1.59552586102342e-05 -1.59552613809137e-05 -1.59552010919819e-05
103424 25.25 -1.53804238171371e-05 -1.53804566843037e-05 -1.53803709586286e-05
103936 25.375 -1.41256175343651e-05 -1.41256573905088e-05 -1.41257340682916e-05
104448 25.5 -1.47474366268196e-05 -1.47474299842333e-05 -1.474747227809e-05
104960 25.625 -1.53784906455832e-05 -1.53786278053826e-05 -1.53786078148353e-05
105472 25.75 -1.70248139383164e-05 -1.70248057116762e-05 -1.70248696131139e-05
105984 25.875 -1.83240766629698e-05 -1.83240896656801e-05 -1.83240762772057e-05
106496 26 -1.77636589983205e-05 -1.7763694853714e-05 -1.77635950075243e-05
