# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
31232 7.625 2.36029659589554e-05 2.3602965989705e-05 2.3602965641926e-05
31744 7.75 2.27938541827186e-05 2.27938542244983e-05 2.27938538076124e-05
32256 7.875 2.08728441050662e-05 2.08728441194854e-05 2.08728436533969e-05
32768 8 2.12046850681027e-05 2.12046840722193e-05 2.12046848941789e-05
33280 8.125 2.1997734002394e-05 2.19977327073182e-05 2.19977341802571e-05
33792 8.25 2.18035253611782e-05 2.18035239161284e-05 2.18035259180623e-05
34304 8.375 2.08312711804335e-05 2.08312698591141e-05 2.08312721214174e-05
34816 8.5 1.92747396855115e-05 1.9274738863004e-05 1.92747410234348e-05
35328 8.625 1.98506348161959e-05 1.98506382056598e-05 1.98506353273707e-05
35840 8.75 2.05263910760674e-05 2.05263959222504e-05 2.05263931550703e-05
36352 8.875 2.07153849776614e-05 2.07153906960905e-05 2.07153883583291e-05
36864 9 2.0435580399384e-05 2.04355861172821e-05 2.04355841117264e-05
37376 9.125 1.95793916880902e-05 1.95793963588142e-05 1.95793944313703e-05
37888 9.25 1.86286058523763e-05 1.86285988071885e-05 1.86285990400767e-05
38400 9.375 1.97156628419143e-05 1.97156518841535e-05 1.97156526968345e-05
38912 9.5 2.05341709161224e-05 2.05341578220876e-05 2.05341603230473e-05
39424 9.625 2.08017939525013e-05 2.0801781253272e-05 2.08017855311411e-05
39936 9.75 2.01579873541938e-05 2.0157977718539e-05 2.01579824617095e-05
40448 9.875 2.16351752468828e-05 2.16351752574767e-05 2.16351752911789e-05
40960 10 2.3070028360981e-05 2.30700283401554e-05 2.30700283682237e-05
41472 10.125 2.43727938320067e-05 2.43727938333626e-05 2.43727938730893e-05
41984 10.25 2.5268880836438e-05 2.52688808331359e-05 2.5268880873388e-05
42496 10.375 2.64003040447633e-05 2.64003040144575e-05 2.64003040078859e-05
43008 10.5 2.8154789263801e-05 2.81547892515783e-05 2.81547892539201e-05
43520 10.625 3.007698551853e-05 3.00769855479058e-05 3.0076985518179e-05
44032 10.75 3.16013711565943e-05 3.16013711980859e-05 3.16013711727489e-05
44544 10.875 3.23502286220988e-05 3.23502286332474e-05 3.2350228662424e-05
45056 11 3.29428420394473e-05 3.29428420511242e-05 3.29428420619404e-05
45568 11.125 3.35880689677536e-05 3.35880689656223e-05 3.35880690240499e-05
46080 11.25 3.41689089429224e-05 3.41689089298169e-05 3.41689089457047e-05
46592 11.375 3.45844275053947e-05 3.45844275129275e-05 3.45844275682226e-05
47104 11.5 3.55548084624797e-05 3.55548083904782e-05 3.55548082958274e-05
47616 11.625 3.70902086451804e-05 3.70902086418757e-05 3.70902085886469e-05
48128 11.75 3.74926347608202e-05 3.74926348092806e-05 3.74926349129062e-05
48640 11.875 3.6906917322028e-05 3.69069173499057e-05 3.69069175578884e-05
49152 12 3.60673782193322e-05 3.60673782001749e-05 3.6067378332647e-05
49664 12.125 3.61252444961191e-05 3.61252445344604e-05 3.61252445757922e-05
50176 12.25 3.62774470153736e-05 3.62774470390246e-05 3.62774471649876e-05
50688 12.375 3.57844783324356e-05 3.57844783482034e-05 3.57844784553688e-05
51200 12.5 3.50255503965001e-05 3.50255503555884e-05 3.50255504342804e-05
51712 12.625 3.49321017198984e-05 3.49321016809776e-05 3.49321016397297e-05
52224 12.75 3.54765610438585e-05 3.5476561083339e-05 3.54765610600631e-05
52736 12.875 3.51533335305159e-05 3.51533336275661e-05 3.51533336723251e-05
53248 13 3.57715424276347e-05 3.57715422515899e-05 3.57715422627056e-05
53760 13.125 3.60922873404078e-05 3.6092287172784e-05 3.60922871940457e-05
54272 13.25 3.61117444295279e-05 3.61117444916116e-05 3.6111744801847e-05
