# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
246784 60.25 1
247296 60.375 1
247808 60.5 1
248320 60.625 1
248832 60.75 1
249344 60.875 1
249856 61 1
250368 61.125 1
250880 61.25 1
251392 61.375 1
251904 61.5 1
252416 61.625 1
252928 61.75 1
253440 61.875 1
253952 62 1
254464 62.125 1
254976 62.25 1
255488 62.375 1
256000 62.5 1
256512 62.625 1
257024 62.75 1
257536 62.875 1
258048 63 1
258560 63.125 1
259072 63.25 1
259584 63.375 1
260096 63.5 1
260608 63.625 1
261120 63.75 1
261632 63.875 1
262144 64 1
262656 64.125 1
263168 64.25 1
263680 64.375 1
264192 64.5 1
264704 64.625 1
265216 64.75 1
265728 64.875 1
266240 65 1
266752 65.125 1
267264 65.25 1
267776 65.375 1
268288 65.5 1
268800 65.625 1
269312 65.75 1
269824 65.875 1
270336 66 1
270848 66.125 1
271360 66.25 1
271872 66.375 1
272384 66.5 1
272896 66.625 1
273408 66.75 1
273920 66.875 1
274432 67 1
274944 67.125 1
275456 67.25 1
275968 67.375 1
276480 67.5 1
276992 67.625 1
277504 67.75 1
278016 67.875 1
278528 68 1
279040 68.125 1
279552 68.25 1
280064 68.375 1
280576 68.5 1
281088 68.625 1
281600 68.75 1
282112 68.875 1
282624 69 1
283136 69.125 1
283648 69.25 1
284160 69.375 1
284672 69.5 1
285184 69.625 1
285696 69.75 1
286208 69.875 1
286720 70 1
287232 70.125 1
287744 70.25 1
288256 70.375 1
288768 70.5 1
289280 70.625 1
289792 70.75 1
290304 70.875 1
290816 71 1
291328 71.125 1
291840 71.25 1
292352 71.375 1
292864 71.5 1
293376 71.625 1
293888 71.75 1
294400 71.875 1
294912 72 1
295424 72.125 1
295936 72.25 1
296448 72.375 1
296960 72.5 1
297472 72.625 1
297984 72.75 1
298496 72.875 1
299008 73 1
299520 73.125 1
300032 73.25 1
300544 73.375 1
301056 73.5 1
301568 73.625 1
302080 73.75 1
302592 73.875 1
303104 74 1
303616 74.125 1
304128 74.25 1
304640 74.375 1
305152 74.5 1
305664 74.625 1
306176 74.75 1
306688 74.875 1
307200 75 1
307712 75.125 1
308224 75.25 1
308736 75.375 1
309248 75.5 1
309760 75.625 1
310272 75.75 1
310784 75.875 1
311296 76 1
311808 76.125 1
312320 76.25 1
312832 76.375 1
313344 76.5 1
313856 76.625 1
314368 76.75 1
314880 76.875 1
315392 77 1
315904 77.125 1
316416 77.25 1
316928 77.375 1
317440 77.5 1
317952 77.625 1
318464 77.75 1
318976 77.875 1
319488 78 1
320000 78.125 1
320512 78.25 1
321024 78.375 1
321536 78.5 1
322048 78.625 1
322560 78.75 1
323072 78.875 1
323584 79 1
324096 79.125 1
324608 79.25 1
325120 79.375 1
325632 79.5 1
326144 79.625 1
326656 79.75 1
327168 79.875 1
327680 80 1
328192 80.125 1
328704 80.25 1
329216 80.375 1
329728 80.5 1
330240 80.625 1
330752 80.75 1
331264 80.875 1
331776 81 1
332288 81.125 1
332800 81.25 1
333312 81.375 1
333824 81.5 1
334336 81.625 1
334848 81.75 1
335360 81.875 1
335872 82 1
336384 82.125 1
336896 82.25 1
337408 82.375 1
337920 82.5 1
338432 82.625 1
338944 82.75 1
339456 82.875 1
339968 83 1
340480 83.125 1
340992 83.25 1
341504 83.375 1
342016 83.5 1
342528 83.625 1
343040 83.75 1
343552 83.875 1
344064 84 1
344576 84.125 1
345088 84.25 1
345600 84.375 1
346112 84.5 1
346624 84.625 1
347136 84.75 1
347648 84.875 1
348160 85 1
348672 85.125 1
349184 85.25 1
349696 85.375 1
350208 85.5 1
350720 85.625 1
351232 85.75 1
351744 85.875 1
352256 86 1
352768 86.125 1
353280 86.25 1
353792 86.375 1
354304 86.5 1
354816 86.625 1
355328 86.75 1
355840 86.875 1
356352 87 1
356864 87.125 1
357376 87.25 1
357888 87.375 1
358400 87.5 1
358912 87.625 1
359424 87.75 1
359936 87.875 1
360448 88 1
360960 88.125 1
361472 88.25 1
361984 88.375 1
362496 88.5 1
363008 88.625 1
363520 88.75 1
364032 88.875 1
364544 89 1
365056 89.125 1
365568 89.25 1
366080 89.375 1
366592 89.5 1
367104 89.625 1
367616 89.75 1
368128 89.875 1
368640 90 1
369152 90.125 1
369664 90.25 1
370176 90.375 1
370688 90.5 1
371200 90.625 1
371712 90.75 1
372224 90.875 1
372736 91 1
373248 91.125 1
373760 91.25 1
374272 91.375 1
374784 91.5 1
375296 91.625 1
375808 91.75 1
376320 91.875 1
376832 92 1
377344 92.125 1
377856 92.25 1
