# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
87552 21.375 2.30929072808099e-06 2.30929072050362e-06 2.30929071369223e-06
88064 21.5 2.31990520176103e-06 2.31990520890039e-06 2.31990517333794e-06
88576 21.625 2.33402844306449e-06 2.33402845868381e-06 2.33402843398566e-06
89088 21.75 2.33893433060718e-06 2.33893436748934e-06 2.33893434737826e-06
89600 21.875 2.34088293147921e-06 2.34088294238666e-06 2.34088288819211e-06
90112 22 2.3444576191168e-06 2.34445763356371e-06 2.34445756996534e-06
90624 22.125 2.35586332264583e-06 2.35586331894159e-06 2.35586327626684e-06
91136 22.25 2.35938780919451e-06 2.35938781387075e-06 2.35938774443728e-06
91648 22.375 2.35810810164314e-06 2.35810808077825e-06 2.35810803577435e-06
92160 22.5 2.35660805635895e-06 2.3566080406057e-06 2.35660798888145e-06
92672 22.625 2.35898790156106e-06 2.3589878804118e-06 2.35898783874908e-06
93184 22.75 2.36230284403266e-06 2.36230285552975e-06 2.36230279431945e-06
93696 22.875 2.36446459724179e-06 2.36446467845697e-06 2.36446465117906e-06
94208 23 2.36372053522376e-06 2.36372057993485e-06 2.3637205694186e-06
94720 23.125 2.35994167118084e-06 2.35994162627976e-06 2.35994159198576e-06
95232 23.25 2.35495000716821e-06 2.35494997455142e-06 2.35494999208559e-06
95744 23.375 2.35441014614481e-06 2.35441012088475e-06 2.35441019059031e-06
96256 23.5 2.35422926598582e-06 2.35422925490542e-06 2.35422931750843e-06
96768 23.625 2.34853972198166e-06 2.34853966859882e-06 2.34853965286547e-06
97280 23.75 2.3389376434485e-06 2.33893762002758e-06 2.33893757643531e-06
97792 23.875 2.33242516189367e-06 2.33242503527542e-06 2.33242497563329e-06
98304 24 2.33236791718e-06 2.3323679068027e-06 2.33236801559804e-06
98816 24.125 2.33038426852274e-06 2.33038427429518e-06 2.33038442336697e-06
99328 24.25 2.3225263157659e-06 2.32252628607019e-06 2.32252645666182e-06
99840 24.375 2.31561914786744e-06 2.31561906368388e-06 2.31561918991233e-06
100352 24.5 2.31132898061093e-06 2.31132891223732e-06 2.31132899134748e-06
100864 24.625 2.30516626225616e-06 2.30516605082825e-06 2.30516608996821e-06
101376 24.75 2.29914406703927e-06 2.29914386673328e-06 2.29914384728852e-06
101888 24.875 2.29988271627618e-06 2.29988262094654e-06 2.29988270490329e-06
102400 25 2.30784619600665e-06 2.30784617085046e-06 2.30784624951508e-06
102912 25.125 2.30970240464974e-06 2.30970237530641e-06 2.30970236028211e-06
103424 25.25 2.30144395053189e-06 2.30144383598811e-06 2.30144385444656e-06
103936 25.375 2.29203440133246e-06 2.29203423550724e-06 2.29203427340187e-06
104448 25.5 2.29239585260363e-06 2.29239576482629e-06 2.29239587132363e-06
104960 25.625 2.29436418146168e-06 2.2943642478039e-06 2.29436437991572e-06
105472 25.75 2.29340285457462e-06 2.29340288211191e-06 2.29340299333513e-06
105984 25.875 2.29258915681532e-06 2.29258910520989e-06 2.29258912814686e-06
106496 26 2.29469962514932e-06 2.29469956684633e-06 2.29469961243631e-06
107008 26.125 2.29427270752133e-06 2.29427261244043e-06 2.29427260719362e-06
107520 26.25 2.28990566698801e-06 2.2899056563768e-06 2.28990573690383e-06
108032 26.375 2.28299918517379e-06 2.28299918960224e-06 2.28299922369276e-06
108544 26.5 2.27942727638467e-06 2.27942728482742e-06 2.27942733963589e-06
109056 26.625 2.28018166389668e-06 2.28018171092024e-06 2.28018178375162e-06
109568 26.75 2.27918023923237e-06 2.27918022520298e-06 2.27918010606969e-06
110080 26.875 2.27719730465197e-06 2.27719732251501e-06 2.27719724679464e-06
110592 27 2.28090332863119e-06 2.28090324993469e-06 2.28090319926395e-06
111104 27.125 2.29135659253313e-06 2.29135649058304e-06 2.29135654276999e-06
111616 27.25 2.30457173725443e-06 2.30457168631057e-06 2.30457181026665e-06
112128 27.375 2.31450379775132e-06 2.31450379025634e-06 2.31450395340963e-06
112640 27.5 2.32498976024108e-06 2.32498976933965e-06 2.32498995132858e-06
113152 27.625 2.34194937721336e-06 2.34194931359534e-06 2.34194936262546e-06
113664 27.75 2.36079034342214e-06 2.36079024851857e-06 2.36079019617948e-06
114176 27.875 2.37438392206283e-06 2.37438371377958e-06 2.37438384189627e-06
114688 28 2.38396978667552e-06 2.38396960202538e-06 2.38396973734059e-06
115200 28.125 2.39556010866996e-06 2.39556009511098e-06 2.39556028028949e-06
115712 28.25 2.41144539703412e-06 2.41144538593992e-06 2.41144542176587e-06
116224 28.375 2.42674676250224e-06 2.42674669519289e-06 2.42674659297183e-06
116736 28.5 2.44315082099927e-06 2.44315072945349e-06 2.4431505099958e-06
117248 28.625 2.46743668921306e-06 2.4674365687034e-06 2.46743643590835e-06
117760 28.75 2.4919678223302e-06 2.49196772179458e-06 2.49196764342737e-06
118272 28.875 2.51079693350749e-06 2.51079688728765e-06 2.51079689754665e-06
118784 29 2.52361858235172e-06 2.52361839951828e-06 2.52361843252234e-06
119296 29.125 2.53822666704746e-06 2.53822646388002e-06 2.53822653125639e-06
