# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
177664 43.375 0.00178926413976084
178176 43.5 0.00179145005071893
178688 43.625 0.0017936308581941
179200 43.75 0.00179580642251051
179712 43.875 0.00179797660614125
180224 44 0.00180014121624295
180736 44.125 0.00180230002137978
181248 44.25 0.00180445281847667
181760 44.375 0.0018065994876448
182272 44.5 0.00180873999618347
182784 44.625 0.0018108743632775
183296 44.75 0.00181300263877827
183808 44.875 0.00181512492496974
184320 45 0.00181724141631134
184832 45.125 0.00181935241304707
185344 45.25 0.0018214582992267
185856 45.375 0.00182355951909285
186368 45.5 0.00182565657906337
186880 45.625 0.00182775006463142
187392 45.75 0.00182984063503524
187904 45.875 0.00183192898170983
188416 46 0.00183401578550625
188928 46.125 0.00183610170379368
189440 46.25 0.00183818738545325
189952 46.375 0.00184027348219706
190464 46.5 0.00184236064013968
190976 46.625 0.00184444949700042
191488 46.75 0.00184654070618118
192000 46.875 0.00184863496533631
192512 47 0.00185073300664064
193024 47.125 0.00185283554261296
193536 47.25 0.00185494320866643
194048 47.375 0.0018570565420118
194560 47.5 0.00185917599548079
195072 47.625 0.00186130194386654
195584 47.75 0.00186343473079242
196096 47.875 0.00186557470346865
196608 48 0.00186772222373204
197120 48.125 0.00186987766838248
197632 48.25 0.00187204142436384
198144 48.375 0.00187421387775485
198656 48.5 0.00187639539389909
199168 48.625 0.00187858629654381
199680 48.75 0.00188078685958947
200192 48.875 0.00188299731743972
200704 49 0.00188521793445569
201216 49.125 0.00188744899992121
201728 49.25 0.00188969067144822
202240 49.375 0.00189194306452894
202752 49.5 0.00189420630166602
203264 49.625 0.00189648052019186
203776 49.75 0.00189876584192947
204288 49.875 0.00190106231729731
204800 50 0.00190336988295117
205312 50.125 0.00190568836114501
205824 50.25 0.00190801749471764
206336 50.375 0.00191035699207556
206848 50.5 0.00191270656172559
207360 50.625 0.00191506591836077
207872 50.75 0.00191743475119871
208384 50.875 0.00191981267061043
208896 51 0.00192219917465565
209408 51.125 0.00192459366526529
209920 51.25 0.00192699550384582
210432 51.375 0.00192940405823326
210944 51.5 0.00193181868846329
211456 51.625 0.00193423869464777
211968 51.75 0.00193666328663357
212480 51.875 0.00193909161644774
212992 52 0.0019415228565596
213504 52.125 0.00194395626445233
214016 52.25 0.0019463911831633
214528 52.375 0.00194882697726708
215040 52.5 0.00195126295461589
215552 52.625 0.0019536983340734
216064 52.75 0.00195613228445067
216576 52.875 0.00195856400722104
217088 53 0.00196099280510045
217600 53.125 0.00196341809397283
218112 53.25 0.00196583936213768
218624 53.375 0.00196825611688546
219136 53.5 0.00197066785484873
219648 53.625 0.00197307406124104
220160 53.75 0.00197547422064702
220672 53.875 0.00197786782650257
221184 54 0.00198025439001797
221696 54.125 0.00198263344868466
222208 54.25 0.00198500456500677
222720 54.375 0.00198736731069887
223232 54.5 0.00198972125118109
223744 54.625 0.00199206595184245
224256 54.75 0.0019944010047251
224768 54.875 0.00199672604395659
225280 55 0.00199904072146628
225792 55.125 0.00200134465368174
226304 55.25 0.0020036373847298
226816 55.375 0.00200591840430139
227328 55.5 0.00200818721479294
227840 55.625 0.00201044340252859
228352 55.75 0.00201268666485938
228864 55.875 0.00201491677892995
229376 56 0.00201713354088673
229888 56.125 0.00201933672253493
230400 56.25 0.00202152607182866
230912 56.375 0.00202370134450864
231424 56.5 0.00202586233428238
231936 56.625 0.00202800888554435
232448 56.75 0.00203014090006378
232960 56.875 0.00203225835000926
233472 57 0.00203436128547192
233984 57.125 0.00203644981371288
234496 57.25 0.00203852405310115
235008 57.375 0.00204058409794258
235520 57.5 0.00204263002275627
236032 57.625 0.00204466192123394
236544 57.75 0.00204667993130521
237056 57.875 0.00204868421777453
237568 58 0.00205067493657951
238080 58.125 0.00205265222179635
238592 58.25 0.00205461620757716
239104 58.375 0.00205656705670646
239616 58.5 0.00205850496015219
240128 58.625 0.00206043010129519
240640 58.75 0.00206234261107108
241152 58.875 0.00206424254745764
241664 59 0.00206612991369248
242176 59.125 0.0020680046995409
242688 59.25 0.00206986691573371
243200 59.375 0.00207171659055514
243712 59.5 0.00207355372837468
244224 59.625 0.00207537827186391
244736 59.75 0.00207719010714113
245248 59.875 0.00207898910594542
245760 60 0.00208077515410366
246272 60.125 0.00208254812713945
246784 60.25 0.00208430783635832
247296 60.375 0.00208605401024918
247808 60.5 0.00208778634132323
248320 60.625 0.00208950455219729
248832 60.75 0.00209120840728193
249344 60.875 0.00209289765435811
249856 61 0.00209457195846953
250368 61.125 0.0020962308980065
250880 61.25 0.00209787402653308
251392 61.375 0.00209950092832515
251904 61.5 0.00210111119474661
252416 61.625 0.00210270445055178
252928 61.75 0.0021042803208143
253440 61.875 0.00210583836842188
253952 62 0.00210737812146571
254464 62.125 0.00210889912920776
254976 62.25 0.00211040097595835
255488 62.375 0.00211188325826085
256000 62.5 0.002113345545643
256512 62.625 0.00211478735754962
257024 62.75 0.00211620816970325
257536 62.875 0.00211760743788427
258048 63 0.002118984617458
258560 63.125 0.00212033917245199
259072 63.25 0.00212167058680691
259584 63.375 0.0021229783857253
260096 63.5 0.00212426361793728
260608 63.625 0.00212552994789651
261120 63.75 0.00212677602941378
261632 63.875 0.00212800007592263
262144 64 0.00212920034410121
262656 64.125 0.00213037526628286
263168 64.25 0.00213152353933799
263680 64.375 0.00213264414826217
264192 64.5 0.00213373634530584
264704 64.625 0.00213479961395931
265216 64.75 0.00213583363108514
265728 64.875 0.0021368382334612
266240 65 0.00213781340557505
266752 65.125 0.00213875927433926
267264 65.25 0.00213967611465509
267776 65.375 0.00214056436096969
268288 65.5 0.00214142461051923
268800 65.625 0.00214225756787878
269312 65.75 0.00214306395344014
269824 65.875 0.00214384440523313
270336 66 0.00214459940520238
270848 66.125 0.00214532925507748
271360 66.25 0.00214603410806182
271872 66.375 0.00214671284565905
272384 66.5 0.00214736304355913
272896 66.625 0.00214798526705348
273408 66.75 0.0021485811055296
273920 66.875 0.00214915758644744
