# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
70656 17.25 -3.43916952597895e-05 -3.43916949107452e-05 -3.43916947389148e-05
71168 17.375 -3.40407150727347e-05 -3.40407148370875e-05 -3.4040715202989e-05
71680 17.5 -3.38712886718327e-05 -3.38712884202354e-05 -3.38712888856797e-05
72192 17.625 -3.37764080007269e-05 -3.37764086013962e-05 -3.37764092424875e-05
72704 17.75 -3.36366459418034e-05 -3.36366463022876e-05 -3.36366467932248e-05
73216 17.875 -3.35950288009813e-05 -3.35950293072281e-05 -3.35950297600855e-05
73728 18 -3.34713177229521e-05 -3.34713181869383e-05 -3.34713185433451e-05
74240 18.125 -3.33245577186813e-05 -3.33245578868228e-05 -3.33245570605781e-05
74752 18.25 -3.32284478146029e-05 -3.32284479027083e-05 -3.32284470115336e-05
75264 18.375 -3.30368782398145e-05 -3.30368783132364e-05 -3.30368775707911e-05
75776 18.5 -3.29112499570836e-05 -3.29112498069424e-05 -3.2911249678758e-05
76288 18.625 -3.2762237084208e-05 -3.27622369725948e-05 -3.27622368222791e-05
76800 18.75 -3.2569282703309e-05 -3.25692826080005e-05 -3.25692826621949e-05
77312 18.875 -3.24145983018451e-05 -3.24145980032499e-05 -3.24145983248531e-05
77824 19 -3.22407408340982e-05 -3.22407409557393e-05 -3.22407414239836e-05
78336 19.125 -3.21310993212128e-05 -3.21310993472468e-05 -3.21310999832841e-05
78848 19.25 -3.19389430094773e-05 -3.19389430140364e-05 -3.19389434251669e-05
79360 19.375 -3.17714500912152e-05 -3.17714498811304e-05 -3.17714500483192e-05
79872 19.5 -3.16156168464705e-05 -3.16156164940719e-05 -3.16156167579948e-05
80384 19.625 -3.14336995272387e-05 -3.14336989648003e-05 -3.1433698954369e-05
80896 19.75 -3.14077282151559e-05 -3.14077276488119e-05 -3.14077276538494e-05
81408 19.875 -3.14197838232239e-05 -3.14197831721854e-05 -3.14197832083427e-05
81920 20 -3.13697643535352e-05 -3.13697636665011e-05 -3.13697637101611e-05
82432 20.125 -3.12302525468721e-05 -3.1230251844042e-05 -3.12302519309052e-05
82944 20.25 -3.09987925989072e-05 -3.0998791885119e-05 -3.09987920410669e-05
83456 20.375 -3.08448094440631e-05 -3.0844808788669e-05 -3.08448089962952e-05
83968 20.5 -3.06645543269282e-05 -3.06645536620173e-05 -3.06645538347695e-05
84480 20.625 -3.04572592771249e-05 -3.04572590372349e-05 -3.04572589634054e-05
84992 20.75 -3.02162761460979e-05 -3.02162758500086e-05 -3.02162757595745e-05
85504 20.875 -3.00678147339409e-05 -3.00678143133591e-05 -3.00678140070415e-05
86016 21 -2.98610101543839e-05 -2.98610097981936e-05 -2.98610099214701e-05
86528 21.125 -2.96024655487201e-05 -2.96024650684794e-05 -2.96024654408058e-05
87040 21.25 -2.93989465522677e-05 -2.93989462714986e-05 -2.93989468348677e-05
87552 21.375 -2.92108803855232e-05 -2.92108801764568e-05 -2.92108806781673e-05
88064 21.5 -2.89540830470383e-05 -2.89540829290597e-05 -2.89540833686422e-05
88576 21.625 -2.862171277319e-05 -2.86217127445598e-05 -2.86217131348481e-05
89088 21.75 -2.83639668250525e-05 -2.83639669452858e-05 -2.83639677494432e-05
89600 21.875 -2.81170778348017e-05 -2.81170782794054e-05 -2.81170783266384e-05
90112 22 -2.78500652034973e-05 -2.78500703010864e-05 -2.78500668944804e-05
90624 22.125 -2.76086245501839e-05 -2.76086249291427e-05 -2.76086248117093e-05
91136 22.25 -2.74118377096902e-05 -2.74118388608906e-05 -2.74118381070358e-05
91648 22.375 -2.71870981340019e-05 -2.7187098431281e-05 -2.71870983288034e-05
92160 22.5 -2.70788317231064e-05 -2.70788320562529e-05 -2.70788319497452e-05
92672 22.625 -2.69256683260493e-05 -2.69256685779923e-05 -2.69256687131335e-05
93184 22.75 -2.67176695264871e-05 -2.67176698439918e-05 -2.67176699661861e-05
93696 22.875 -2.64503649812697e-05 -2.64503653736234e-05 -2.64503654941202e-05
94208 23 -2.61235423430457e-05 -2.61235428019175e-05 -2.61235429218161e-05
94720 23.125 -2.57548708562444e-05 -2.57548726305263e-05 -2.57548744162796e-05
95232 23.25 -2.54054731115058e-05 -2.54054726322567e-05 -2.54054707611194e-05
95744 23.375 -2.50610894952321e-05 -2.50610891212356e-05 -2.50610873741671e-05
96256 23.5 -2.47128456724463e-05 -2.4712845429827e-05 -2.47128437558087e-05
96768 23.625 -2.43737358164897e-05 -2.43737369196633e-05 -2.43737364737617e-05
97280 23.75 -2.41099666062901e-05 -2.41099667048975e-05 -2.41099663997835e-05
97792 23.875 -2.38415961630674e-05 -2.38415963746337e-05 -2.38415960924044e-05
98304 24 -2.35664445208826e-05 -2.35664449360314e-05 -2.35664446604782e-05
98816 24.125 -2.32869324048643e-05 -2.32869328579829e-05 -2.32869326092394e-05
