# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
469504 114.625 2.69827663375997e-05
470016 114.75 2.69926891965622e-05
470528 114.875 2.70026891147379e-05
471040 115 2.70145025009651e-05
471552 115.125 2.70271004832128e-05
472064 115.25 2.70395009961693e-05
472576 115.375 2.70508123437279e-05
473088 115.5 2.70625750146652e-05
473600 115.625 2.70752863537235e-05
474112 115.75 2.70871483709763e-05
474624 115.875 2.70972438934711e-05
475136 116 2.71066619849129e-05
475648 116.125 2.71173084304846e-05
476160 116.25 2.71290856589777e-05
476672 116.375 2.71405312542911e-05
477184 116.5 2.71511769386703e-05
477696 116.625 2.71627579342412e-05
478208 116.75 2.71744647973529e-05
478720 116.875 2.71856216930899e-05
479232 117 2.71959236962202e-05
479744 117.125 2.72061285279438e-05
480256 117.25 2.72165934523483e-05
480768 117.375 2.72271233885244e-05
481280 117.5 2.72373364855616e-05
481792 117.625 2.72473073851865e-05
482304 117.75 2.72586011846921e-05
482816 117.875 2.72696886407751e-05
483328 118 2.72798703566822e-05
483840 118.125 2.72895570625265e-05
484352 118.25 2.73000204950671e-05
484864 118.375 2.73109366558957e-05
485376 118.5 2.73211364381774e-05
485888 118.625 2.73306531604334e-05
486400 118.75 2.73403378729518e-05
486912 118.875 2.73512749094972e-05
487424 119 2.73619819368221e-05
487936 119.125 2.7372044526644e-05
488448 119.25 2.73819317857724e-05
488960 119.375 2.73925071804074e-05
489472 119.5 2.74032468820438e-05
489984 119.625 2.74132309724556e-05
490496 119.75 2.74228142835163e-05
491008 119.875 2.7432625710639e-05
491520 120 2.74427437710467e-05
492032 120.125 2.74523068995727e-05
492544 120.25 2.74618213175753e-05
493056 120.375 2.74718879638406e-05
493568 120.5 2.74821380802449e-05
494080 120.625 2.74920669176116e-05
494592 120.75 2.75015723466606e-05
495104 120.875 2.75113621618765e-05
495616 121 2.75215048487115e-05
496128 121.125 2.75313542820435e-05
496640 121.25 2.75402875776706e-05
497152 121.375 2.75497338105776e-05
497664 121.5 2.7560364908187e-05
498176 121.625 2.75712235496619e-05
498688 121.75 2.7580972421622e-05
499200 121.875 2.75903597029057e-05
499712 122 2.76002789187047e-05
500224 122.125 2.76107377780499e-05
500736 122.25 2.76205556073906e-05
501248 122.375 2.76291890461819e-05
501760 122.5 2.76382850006697e-05
502272 122.625 2.76486774900479e-05
502784 122.75 2.76592084584743e-05
503296 122.875 2.76685670543133e-05
503808 123 2.76779391759804e-05
504320 123.125 2.76877937719344e-05
504832 123.25 2.76980924842894e-05
505344 123.375 2.77082244825926e-05
505856 123.5 2.77174861692785e-05
506368 123.625 2.77269725506631e-05
506880 123.75 2.77374499999297e-05
507392 123.875 2.7748672062848e-05
507904 124 2.77586101754766e-05
508416 124.125 2.77680604977565e-05
508928 124.25 2.77774438724583e-05
509440 124.375 2.77866204798325e-05
509952 124.5 2.77955772396548e-05
510464 124.625 2.78046539419855e-05
510976 124.75 2.78137386086106e-05
511488 124.875 2.78233016563766e-05
512000 125 2.78336921298463e-05
512512 125.125 2.78438450464185e-05
513024 125.25 2.78540728164288e-05
513536 125.375 2.78644497700901e-05
514048 125.5 2.78742740748187e-05
514560 125.625 2.78833592770064e-05
515072 125.75 2.78923721120506e-05
515584 125.875 2.79018656019257e-05
516096 126 2.79115542625423e-05
516608 126.125 2.79210234520972e-05
517120 126.25 2.792999213557e-05
517632 126.375 2.7939297460907e-05
518144 126.5 2.79488901998116e-05
518656 126.625 2.79581977885024e-05
519168 126.75 2.79669426524339e-05
519680 126.875 2.79757172729574e-05
520192 127 2.79848779416035e-05
520704 127.125 2.79948065402517e-05
521216 127.25 2.80044722620995e-05
521728 127.375 2.80136435888858e-05
522240 127.5 2.80227258263997e-05
522752 127.625 2.80318887988875e-05
523264 127.75 2.80408414175062e-05
523776 127.875 2.80493462714904e-05
524288 128 2.80579516131116e-05
524800 128.125 2.80668367986033e-05
525312 128.25 2.80762847087261e-05
525824 128.375 2.8085945909059e-05
526336 128.5 2.80953435490225e-05
526848 128.625 2.81040381892447e-05
527360 128.75 2.81127062884798e-05
527872 128.875 2.81215767125206e-05
528384 129 2.81297246740344e-05
528896 129.125 2.81374877491198e-05
529408 129.25 2.81453212140394e-05
529920 129.375 2.81542017756358e-05
530432 129.5 2.81637220638363e-05
530944 129.625 2.81731431751475e-05
531456 129.75 2.81818186368028e-05
531968 129.875 2.81903465805116e-05
532480 130 2.81995444955149e-05
532992 130.125 2.82086521332427e-05
533504 130.25 2.82168121830014e-05
534016 130.375 2.82239615917523e-05
534528 130.5 2.82322793097647e-05
535040 130.625 2.82412315360502e-05
535552 130.75 2.82500723458259e-05
536064 130.875 2.82578182831459e-05
536576 131 2.82655228076434e-05
537088 131.125 2.827409400405e-05
537600 131.25 2.82831869989394e-05
538112 131.375 2.8291742045563e-05
538624 131.5 2.82995283287104e-05
539136 131.625 2.83080746024045e-05
539648 131.75 2.83172879297182e-05
540160 131.875 2.83265807390657e-05
540672 132 2.83345926094368e-05
541184 132.125 2.8342369133782e-05
541696 132.25 2.83504347092682e-05
542208 132.375 2.83589030959165e-05
542720 132.5 2.83668469536536e-05
543232 132.625 2.83745574196359e-05
543744 132.75 2.83827561161287e-05
544256 132.875 2.83915241155681e-05
544768 133 2.84004998394009e-05
545280 133.125 2.84087964560105e-05
545792 133.25 2.84171061322355e-05
546304 133.375 2.84255657122251e-05
546816 133.5 2.84344657209349e-05
547328 133.625 2.84425027016895e-05
547840 133.75 2.84501438286633e-05
548352 133.875 2.84579775205817e-05
548864 134 2.84661827706927e-05
549376 134.125 2.84743036925648e-05
549888 134.25 2.8482056380342e-05
550400 134.375 2.84898740777944e-05
550912 134.5 2.84983012259595e-05
551424 134.625 2.85069219514447e-05
551936 134.75 2.85151064998071e-05
552448 134.875 2.85234520082504e-05
552960 135 2.85318171997373e-05
553472 135.125 2.85399522855004e-05
553984 135.25 2.85478536090418e-05
554496 135.375 2.85556171981497e-05
555008 135.5 2.85636382959436e-05
555520 135.625 2.85720815171158e-05
556032 135.75 2.85802119184235e-05
556544 135.875 2.8587927124209e-05
557056 136 2.85961934447558e-05
557568 136.125 2.86050519667743e-05
558080 136.25 2.8613560128219e-05
558592 136.375 2.86214644850487e-05
559104 136.5 2.86292322846191e-05
559616 136.625 2.86376342409997e-05
560128 136.75 2.86463100746091e-05
560640 136.875 2.8654178094325e-05
561152 137 2.86613026393457e-05
561664 137.125 2.86689817432415e-05
562176 137.25 2.86780085110558e-05
562688 137.375 2.86867777926149e-05
563200 137.5 2.86947069122904e-05
563712 137.625 2.870242114854e-05
564224 137.75 2.87110239860077e-05
564736 137.875 2.87203248484556e-05
565248 138 2.87285005460352e-05
565760 138.125 2.87352569194898e-05
566272 138.25 2.87425091849988e-05
566784 138.375 2.87513047779879e-05
567296 138.5 2.87603366208897e-05
567808 138.625 2.876824086385e-05
568320 138.75 2.87759387660431e-05
568832 138.875 2.87846955716337e-05
569344 139 2.87942193982428e-05
569856 139.125 2.88024520803695e-05
570368 139.25 2.88089467818903e-05
570880 139.375 2.88158678364503e-05
571392 139.5 2.88241793082784e-05
571904 139.625 2.88327130064014e-05
572416 139.75 2.88401589753076e-05
572928 139.875 2.88475635917945e-05
573440 140 2.88560802176047e-05
573952 140.125 2.88656477300696e-05
574464 140.25 2.88740769886669e-05
574976 140.375 2.88810680978256e-05
575488 140.5 2.88883586095928e-05
576000 140.625 2.88969673328373e-05
576512 140.75 2.8905634839262e-05
577024 140.875 2.8913471322983e-05
577536 141 2.89213823818121e-05
578048 141.125 2.89301818201662e-05
578560 141.25 2.89398527775803e-05
579072 141.375 2.8948698121571e-05
579584 141.5 2.8956541254797e-05
580096 141.625 2.89646748783658e-05
580608 141.75 2.89736841199875e-05
581120 141.875 2.89822748156392e-05
581632 142 2.89898490040264e-05
582144 142.125 2.8997672885053e-05
582656 142.25 2.90062749158728e-05
583168 142.375 2.90154558966578e-05
583680 142.5 2.90238578296281e-05
584192 142.625 2.90318554248899e-05
584704 142.75 2.90405644066574e-05
585216 142.875 2.90495406114212e-05
585728 143 2.90580066130363e-05
586240 143.125 2.90655948672292e-05
586752 143.25 2.90734556019592e-05
587264 143.375 2.90818397710672e-05
587776 143.5 2.90904232613835e-05
588288 143.625 2.9098566691384e-05
588800 143.75 2.9106845001424e-05
589312 143.875 2.91160540968622e-05
589824 144 2.91248625127586e-05
590336 144.125 2.91332090246449e-05
590848 144.25 2.91411076253619e-05
591360 144.375 2.91495813097313e-05
591872 144.5 2.91579147457225e-05
592384 144.625 2.91659664331971e-05
592896 144.75 2.91736244969549e-05
593408 144.875 2.91821986880703e-05
593920 145 2.91918295017512e-05
594432 145.125 2.92004620322531e-05
594944 145.25 2.92082961556311e-05
595456 145.375 2.92159531485449e-05
595968 145.5 2.92246582495349e-05
596480 145.625 2.92329934768891e-05
596992 145.75 2.92404264443041e-05
