# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
16896 4.125 87.0690560351678 86.6800743372147 176.547666072845 170.5542781353 167.911773920059 0 8.65493416786194 99 473211.419158742 473211.419158742 80708232 80708232 387605.123264965 387605.123264965 66107712 66107712 224.412251301069 2979281.87902381 7368.8970258236 2971912.98199799 1942 25728969 63849 25665120 0 0 0 0 176.196804046631 1688998510.47118 21353
17408 4.25 87.4301021633733 86.6918142222869 180.990324020386 174.99693608284 172.260738134384 0 8.74847292900085 102 475173.667958601 475173.667958601 83153936 83153936 389212.391511573 389212.391511573 68110976 68110976 224.982035304721 2947480.7093954 7464.95891683677 2940015.75047856 1968 25730494 65374 25665120 0 0 0 0 180.628971099854 1688998514.91384 21992
17920 4.375 87.8253524089575 86.7119580027557 185.326570987701 179.333183050156 176.50394320488 0 8.84152460098267 105 477321.812639993 477321.812639993 85599640 85599640 390971.926151506 390971.926151506 70114240 70114240 225.556381725033 2916567.5616625 7556.70551236579 2909010.85615014 1994 25732002 66882 25665120 0 0 0 0 184.954884529114 1688998519.25008 22631
18432 4.5 88.0679376356249 86.7384718483678 189.942285060883 183.948897123337 180.970755577087 0 9.04600644111633 108 478640.23854933 478640.23854933 88045344 88045344 392051.842265983 392051.842265983 72117504 72117504 231.39867106827 3024344.85100996 7601.71385750719 3016743.13715246 2140 28585203 68403 28516800 0 0 0 0 189.56002163887 1688998523.8658 23270
18944 4.625 87.9941513805465 86.7642743051552 195.210509061813 189.217121124268 186.09053850174 0 9.14177942276001 111 478239.217795573 478239.217795573 90491048 90491048 391723.36815822 391723.36815822 74120768 74120768 237.062168760169 3134491.9165801 7639.71764393895 3126852.19893616 2166 28586686 69886 28516800 0 0 0 0 194.817934751511 1688998529.13402 23909
19456 4.75 88.3214498513084 86.7929809780335 199.604340076447 193.610952138901 190.384659528732 0 9.23851871490479 114 480018.051526988 480018.051526988 92936752 92936752 393180.402033181 393180.402033181 76124032 76124032 237.318417777767 3100758.73584227 7723.15262242501 3093035.58321985 2192 28588212 71412 28516800 0 0 0 0 199.201311826706 1688998533.52785 24548
19968 4.875 88.670944327169 86.8277626726749 203.916170120239 197.922782182693 194.603090286255 0 9.3326518535614 117 481917.518277188 481917.518277188 95382456 95382456 394736.245814715 394736.245814715 78127296 78127296 237.730164399632 3069823.57175485 7807.51387255014 3062016.0578823 2218 28589725 72925 28516800 0 0 0 0 203.502629995346 1688998537.83968 25187
20480 5 88.9626914048231 86.8687219837546 208.325396060944 202.332008123398 198.862671375275 0 9.53856468200684 120 483503.133821203 483503.133821203 97828160 97828160 396035.015631981 396035.015631981 80130560 80130560 243.05895779503 3169353.6477311 7845.62612420037 3161508.0216069 2364 31442917 74437 31368480 0 0 0 0 207.89976978302 1688998542.24891 25826
20992 5.125 88.5936662285279 86.9092486012516 214.247553110123 208.254165172577 204.634941339493 0 9.63198161125183 123 481497.519710612 481497.519710612 100273864 100273864 394392.227074724 394392.227074724 82133824 82133824 248.215579379802 3271134.70826666 7871.74202033146 3263262.96624632 2390 31444361 75881 31368480 0 0 0 0 213.812871694565 1688998548.17107 26465
21504 5.25 88.8282521501981 86.9449808658769 218.763531923294 212.770143985748 209.047833204269 0 9.73458981513977 126 482772.470214996 482772.470214996 102719568 102719568 395436.532700921 395436.532700921 84137088 84137088 248.2580069385 3236584.82106131 7946.21181993077 3228638.60924138 2416 31445890 77410 31368480 0 0 0 0 218.318511009216 1688998552.68704 27104
