# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
262656 64.125 1.05662411290794
263168 64.25 1.05555032466024
263680 64.375 1.05376509512559
264192 64.5 1.05324909096276
264704 64.625 1.05152277631659
265216 64.75 1.04858582769391
265728 64.875 1.04656825314297
266240 65 1.04711173319133
266752 65.125 1.04764949685927
267264 65.25 1.04817644396182
267776 65.375 1.04868814041296
268288 65.5 1.04912912729267
268800 65.625 1.04947572368272
269312 65.75 1.04977784794955
269824 65.875 1.05001797920243
270336 66 1.05013515154902
270848 66.125 1.05020771676251
271360 66.25 1.05023373886635
271872 66.375 1.05018567409268
272384 66.5 1.05044294759085
272896 66.625 1.05102133854368
273408 66.75 1.05158470896088
273920 66.875 1.05212815694847
274432 67 1.0526260969068
274944 67.125 1.05283621180746
275456 67.25 1.05262877539609
275968 67.375 1.05228551908706
276480 67.5 1.05181019802966
276992 67.625 1.0511982673392
277504 67.75 1.05045127293687
278016 67.875 1.05088362036786
278528 68 1.05124324260521
279040 68.125 1.05151050087363
279552 68.25 1.0517489818049
280064 68.375 1.05116132509327
280576 68.5 1.05068318247717
281088 68.625 1.05044832876832
281600 68.75 1.05080303306122
282112 68.875 1.05107392910215
282624 69 1.05141171366246
283136 69.125 1.05188461316
283648 69.25 1.05228525327908
284160 69.375 1.05261714814495
284672 69.5 1.05288464683216
285184 69.625 1.05310764624237
285696 69.75 1.05328988904829
286208 69.875 1.0534232670255
286720 70 1.05349773140647
287232 70.125 1.05351419886731
287744 70.25 1.05347397988493
288256 70.375 1.05337910974247
288768 70.5 1.05322597664031
289280 70.625 1.05302160786521
289792 70.75 1.05276393579374
290304 70.875 1.05248950518876
290816 71 1.05220586680212
291328 71.125 1.05186521919952
291840 71.25 1.05153409080226
292352 71.375 1.05178536066041
292864 71.5 1.051800649166
293376 71.625 1.05166985254144
293888 71.75 1.05205583361855
294400 71.875 1.05236574864773
294912 72 1.05256333850028
295424 72.125 1.0526627391231
295936 72.25 1.05320035576902
296448 72.375 1.05338961555926
296960 72.5 1.05360892560521
297472 72.625 1.05408095210016
297984 72.75 1.0548938901712
298496 72.875 1.05565601232974
299008 73 1.05634046782765
299520 73.125 1.05692568409201
300032 73.25 1.05739122242107
300544 73.375 1.05732180094921
301056 73.5 1.05749204809748
301568 73.625 1.05814779397724
302080 73.75 1.05890127731825
302592 73.875 1.05963652970286
303104 74 1.06032936259183
303616 74.125 1.06028861074764
304128 74.25 1.05992598122028
304640 74.375 1.05956891664682
305152 74.5 1.05953568326028
305664 74.625 1.059404273024
306176 74.75 1.05910876496936
306688 74.875 1.05907894514792
307200 75 1.05931306688223
307712 75.125 1.0594679634425
308224 75.25 1.05958935547119
308736 75.375 1.05968790166491
309248 75.5 1.06020767088072
309760 75.625 1.06073091894533
310272 75.75 1.06125252651569
310784 75.875 1.06175421164354
311296 76 1.06223704850162
311808 76.125 1.06270500797996
312320 76.25 1.06315687921034
312832 76.375 1.06359337957341
313344 76.5 1.06401558091078
313856 76.625 1.06442358497322
314368 76.75 1.06481810991912
314880 76.875 1.0651956735374
315392 77 1.06554389206769
315904 77.125 1.06583692090175
316416 77.25 1.06605017888655
316928 77.375 1.06616720321239
317440 77.5 1.06616712985502
317952 77.625 1.06606925040189
318464 77.75 1.06578601438821
318976 77.875 1.06515355734518
319488 78 1.06413503829064
320000 78.125 1.06273638998485
320512 78.25 1.06146016257062
321024 78.375 1.06232100668802
321536 78.5 1.06313058054117
322048 78.625 1.06391516910309
322560 78.75 1.06465017937618
323072 78.875 1.0653114766412
323584 79 1.06560798150751
324096 79.125 1.06530189614469
324608 79.25 1.06511364412283
325120 79.375 1.06495410449559
325632 79.5 1.06441273836602
326144 79.625 1.06348151258903
326656 79.75 1.06252832346522
327168 79.875 1.06305725084577
327680 80 1.0636938210872
328192 80.125 1.06424609052569
328704 80.25 1.06395763238008
329216 80.375 1.06427821798126
329728 80.5 1.06451582840489
330240 80.625 1.06450271734605
330752 80.75 1.06413729522365
331264 80.875 1.06425067290053
331776 81 1.06449612942585
332288 81.125 1.06487840269856
332800 81.25 1.065385652152
333312 81.375 1.0658060957482
333824 81.5 1.06613675611315
334336 81.625 1.06637439989169
334848 81.75 1.06651140748958
335360 81.875 1.06653204223223
335872 82 1.0664247770618
336384 82.125 1.06616533837065
336896 82.25 1.06571346173514
337408 82.375 1.06502773663137
337920 82.5 1.06454403064273
338432 82.625 1.06420644056387
338944 82.75 1.06374719664524
339456 82.875 1.06315378895766
339968 83 1.06267820351702
340480 83.125 1.06311593168036
340992 83.25 1.06354593029299
341504 83.375 1.0639670082085
342016 83.5 1.06437528180526
342528 83.625 1.0647606606425
343040 83.75 1.06512005855995
343552 83.875 1.06544945662297
344064 84 1.06574520603439
344576 84.125 1.06601046391837
345088 84.25 1.06598948395599
345600 84.375 1.06555140468244
346112 84.5 1.0659798861744
346624 84.625 1.06635818935042
347136 84.75 1.06669256065759
347648 84.875 1.06698827924903
348160 85 1.06724797324007
348672 85.125 1.06746773205269
349184 85.25 1.06764070710794
349696 85.375 1.06772954829746
350208 85.5 1.06771613758555
350720 85.625 1.06761812418105
351232 85.75 1.0674535665346
351744 85.875 1.06721533469915
352256 86 1.06691157473854
352768 86.125 1.06654146362839
353280 86.25 1.06648495186078
353792 86.375 1.06688639335056
354304 86.5 1.06724531257319
354816 86.625 1.06755565825918
355328 86.75 1.06781678399516
355840 86.875 1.06803728668733
356352 87 1.06820165799757
356864 87.125 1.06821700172875
357376 87.25 1.06797939812563
357888 87.375 1.06675305509792
358400 87.5 1.06507967493002
358912 87.625 1.06523780045426
359424 87.75 1.0654611692734
359936 87.875 1.06602400638972
360448 88 1.06657150746881
360960 88.125 1.06623027208843
361472 88.25 1.0659713616213
361984 88.375 1.0652929449378
362496 88.5 1.06533591004072
363008 88.625 1.0653529649518
363520 88.75 1.06532233566135
364032 88.875 1.06545878550922
364544 89 1.06585709978041
365056 89.125 1.06635668935974
365568 89.25 1.06683485518024
366080 89.375 1.06726184288228
366592 89.5 1.06762962944777
367104 89.625 1.06793038602968
367616 89.75 1.06777513969899
368128 89.875 1.06759583281061
368640 90 1.06762763412526
369152 90.125 1.06756807358614
369664 90.25 1.06714444536906
370176 90.375 1.06589373098014
370688 90.5 1.06650166374979
371200 90.625 1.06717767653968
371712 90.75 1.06771452029357
372224 90.875 1.06815875658368
372736 91 1.06851019672623
373248 91.125 1.06786982665709
373760 91.25 1.06767727666926
374272 91.375 1.06806088159095
374784 91.5 1.06902910541265
375296 91.625 1.06986158664135
375808 91.75 1.07062050070609
376320 91.875 1.0713175446175
376832 92 1.07191905005001
377344 92.125 1.07241849542308
377856 92.25 1.07236930552447
378368 92.375 1.0732004218414
378880 92.5 1.07393252668402
379392 92.625 1.07459518254672
379904 92.75 1.07512993959136
380416 92.875 1.0754891326001
380928 93 1.07349185722511
381440 93.125 1.07011759027495
381952 93.25 1.06905522001858
382464 93.375 1.06756702955507
382976 93.5 1.06802850113369
383488 93.625 1.06847026969329
384000 93.75 1.06873285000056
384512 93.875 1.06881760912138
385024 94 1.06873787535293
385536 94.125 1.06847910648911
386048 94.25 1.06811639784907
386560 94.375 1.06876663498394
387072 94.5 1.06938129649004
387584 94.625 1.06996392653581
388096 94.75 1.07050226913987
