# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
175104 42.75 0.968395838281654
175616 42.875 0.968394274130187
176128 43 0.968392725816683
176640 43.125 0.968391196055983
177152 43.25 0.968389686955778
177664 43.375 0.968388200759382
178176 43.5 0.968386739894268
178688 43.625 0.968385306357446
179200 43.75 0.968383900929984
179712 43.875 0.968382522837221
180224 44 0.968381170176844
180736 44.125 0.968379840923638
181248 44.25 0.968378533928653
181760 44.375 0.968377249315454
182272 44.5 0.968375988042252
182784 44.625 0.968374750909378
183296 44.75 0.968373537626872
183808 44.875 0.968372346514373
184320 45 0.968371175017571
184832 45.125 0.968370020731739
185344 45.25 0.968368882321225
185856 45.375 0.968367759792414
186368 45.5 0.968366653971145
186880 45.625 0.968365565513682
187392 45.75 0.968364494053414
187904 45.875 0.968363437990392
188416 46 0.968362395030336
188928 46.125 0.968361363123485
189440 46.25 0.968360341222005
189952 46.375 0.968359329405078
190464 46.5 0.968358328324771
190976 46.625 0.968357338347387
191488 46.75 0.968356358941745
192000 46.875 0.968355388691261
192512 47 0.968354425895114
193024 47.125 0.968353469340046
193536 47.25 0.968352518718273
194048 47.375 0.968351574412261
194560 47.5 0.968350636805058
195072 47.625 0.968349705608779
195584 47.75 0.968348779695641
196096 47.875 0.968347857558982
196608 48 0.968346938072858
197120 48.125 0.968346020993338
197632 48.25 0.968345106830016
198144 48.375 0.968344196185397
198656 48.5 0.968343289061593
199168 48.625 0.968342384656411
199680 48.75 0.968341481790431
200192 48.875 0.968340579616861
200704 49 0.968339678052833
201216 49.125 0.968338777603194
201728 49.25 0.968337878737387
202240 49.375 0.968336981330618
202752 49.5 0.968336084611908
203264 49.625 0.968335187638712
203776 49.75 0.968334289894532
204288 49.875 0.968333391528579
204800 50 0.968332493075378
205312 50.125 0.968331594926311
205824 50.25 0.968330697006457
206336 50.375 0.968329798898325
206848 50.5 0.968328900249316
207360 50.625 0.968328001061144
207872 50.75 0.96832710158792
208384 50.875 0.968326201936826
208896 51 0.968325301734097
209408 51.125 0.968324400148758
209920 51.25 0.968323496227413
210432 51.375 0.968322589200002
210944 51.5 0.968321678440185
211456 51.625 0.968320763085942
211968 51.75 0.96831984165367
212480 51.875 0.968318912012827
212992 52 0.968317971793603
213504 52.125 0.968317018938918
214016 52.25 0.968316052003905
214528 52.375 0.968315070039793
215040 52.5 0.968314072257705
215552 52.625 0.968313057830591
216064 52.75 0.968312026025002
216576 52.875 0.968310976525107
217088 53 0.968309909622886
217600 53.125 0.968308826062867
218112 53.25 0.968307726629955
218624 53.375 0.968306611780316
219136 53.5 0.968305481561308
219648 53.625 0.968304335817299
220160 53.75 0.968303174466306
220672 53.875 0.968301997630637
221184 54 0.96830080558064
221696 54.125 0.968299598621145
222208 54.25 0.968298377065633
222720 54.375 0.968297141316879
223232 54.5 0.968295891946075
223744 54.625 0.968294629656377
224256 54.75 0.968293355125473
224768 54.875 0.96829206883546
225280 55 0.96829077101728
225792 55.125 0.968289461755718
226304 55.25 0.96828814119419
226816 55.375 0.968286809722877
227328 55.5 0.968285468051247
227840 55.625 0.968284117129468
228352 55.75 0.968282757955914
228864 55.875 0.96828139136393
229376 56 0.968280017899355
229888 56.125 0.968278637862339
230400 56.25 0.968277251497628
230912 56.375 0.968275859224729
231424 56.5 0.968274461772696
231936 56.625 0.968273060155013
232448 56.75 0.968271655540739
232960 56.875 0.968270249152238
233472 57 0.968268842285255
233984 57.125 0.968267436435151
234496 57.25 0.968266033421826
235008 57.375 0.968264635409513
235520 57.5 0.968263244800997
236032 57.625 0.968261864066147
236544 57.75 0.968260495575712
237056 57.875 0.968259141462065
237568 58 0.968257803480264
238080 58.125 0.96825648283666
238592 58.25 0.968255179970658
239104 58.375 0.968253894274726
239616 58.5 0.96825262371299
240128 58.625 0.968251364297566
240640 58.75 0.968250109451313
241152 58.875 0.968248849406848
241664 59 0.968247570879416
242176 59.125 0.968246257228068
242688 59.25 0.968244889190411
243200 59.375 0.968243446126196
243712 59.5 0.968241907620406
244224 59.625 0.968240255286973
244736 59.75 0.968238474615151
245248 59.875 0.968236556650804
245760 60 0.968234499221307
246272 60.125 0.96823230738353
246784 60.25 0.968229992877538
247296 60.375 0.968227572594475
247808 60.5 0.968225066316111
248320 60.625 0.968222494142225
248832 60.75 0.968219874043672
249344 60.875 0.968217219901367
249856 61 0.968214540285972
250368 61.125 0.968211838137737
250880 61.25 0.968209111405346
251392 61.375 0.968206354561661
251904 61.5 0.968203560731194
252416 61.625 0.968200723989621
252928 61.75 0.968197841307229
253440 61.875 0.968194913661575
253952 62 0.968191946040172
254464 62.125 0.968188946337096
254976 62.25 0.968185923435018
255488 62.375 0.968182884976784
256000 62.5 0.968179835414345
256512 62.625 0.968176774856962
257024 62.75 0.968173699038303
257536 62.875 0.968170600427873
258048 63 0.968167470196837
258560 63.125 0.968164300497429
259072 63.25 0.968161086407448
259584 63.375 0.96815782697207
260096 63.5 0.968154525032687
260608 63.625 0.968151185894671
261120 63.75 0.968147815239172
261632 63.875 0.96814441691245
262144 64 0.968140991253083
262656 64.125 0.968137534434274
263168 64.25 0.968134038968624
263680 64.375 0.968130495160975
264192 64.5 0.968126893027281
264704 64.625 0.968123224115638
265216 64.75 0.968119482789455
265728 64.875 0.968115666799048
266240 65 0.968111777254714
266752 65.125 0.968107818295004
267264 65.25 0.968103796747202
267776 65.375 0.968099721920863
268288 65.5 0.968095605455001
268800 65.625 0.968091460976669
269312 65.75 0.968087303309524
269824 65.875 0.96808314710891
270336 66 0.968079005037419
270848 66.125 0.968074885836563
271360 66.25 0.968070792804287
271872 66.375 0.968066723194004
272384 66.5 0.968062668889936
272896 66.625 0.968058618408888
273408 66.75 0.968054559894687
273920 66.875 0.968050484411318
274432 67 0.968046388630837
274944 67.125 0.968042276065143
275456 67.25 0.968038156351968
275968 67.375 0.968034042705738
276480 67.5 0.968029948293128
276992 67.625 0.968025882734294
277504 67.75 0.968021849947232
278016 67.875 0.968017848081464
278528 68 0.968013871478725
279040 68.125 0.968009913778176
279552 68.25 0.96800597081711
280064 68.375 0.968002042096267
280576 68.5 0.967998130252615
281088 68.625 0.967994238915953
281600 68.75 0.967990370084964
282112 68.875 0.967986522377774
282624 69 0.967982691076574
283136 69.125 0.967978869997258
283648 69.25 0.967975054300501
284160 69.375 0.967971242868652
284672 69.5 0.967967439052299
285184 69.625 0.967963649364563
285696 69.75 0.967959880698802
286208 69.875 0.967956137377602
286720 70 0.967952419440384
287232 70.125 0.967948722983225
287744 70.25 0.96794504236265
288256 70.375 0.967941373161315
288768 70.5 0.967937714449694
289280 70.625 0.967934069252898
289792 70.75 0.967930443056521
290304 70.875 0.96792684118163
290816 71 0.96792326640745
291328 71.125 0.967919718037291
291840 71.25 0.967916192797539
292352 71.375 0.967912686975091
292864 71.5 0.967909198570816
293376 71.625 0.967905728306751
293888 71.75 0.967902279018002
294400 71.875 0.967898853882844
294912 72 0.96789545457537
295424 72.125 0.967892080419505
295936 72.25 0.967888729003077
296448 72.375 0.967885397844012
296960 72.5 0.967882086089856
297472 72.625 0.967878795226923
297984 72.75 0.967875528375162
298496 72.875 0.967872288595117
299008 73 0.967869077228161
299520 73.125 0.967865893267414
300032 73.25 0.967862734118057
300544 73.375 0.967859597235395
301056 73.5 0.967856481570759
301568 73.625 0.96785338787799
302080 73.75 0.967850317682646
302592 73.875 0.967847271624138
303104 74 0.967844248348787
303616 74.125 0.967841244821597
304128 74.25 0.9678382580032
304640 74.375 0.967835286893827
305152 74.5 0.967832333611194
305664 74.625 0.967829402695757
306176 74.75 0.96782649891235
306688 74.875 0.967823624759589
307200 75 0.967820779104725
307712 75.125 0.967817957704906
308224 75.25 0.967815155279621
308736 75.375 0.96781236794642
309248 75.5 0.967809594717874
309760 75.625 0.967806837391343
310272 75.75 0.967804099104942
310784 75.875 0.967801382508547
311296 76 0.967798688559216
311808 76.125 0.967796016447318
312320 76.25 0.967793364455448
312832 76.375 0.967790731067604
313344 76.5 0.967788115618843
313856 76.625 0.967785518160841
314368 76.75 0.967782938751419
314880 76.875 0.967780376735029
315392 77 0.967777830562281
315904 77.125 0.967775298320924
316416 77.25 0.967772778654382
316928 77.375 0.967770271447853
317440 77.5 0.967767777774443
317952 77.625 0.967765299062896
318464 77.75 0.967762835972591
318976 77.875 0.967760387679872
319488 78 0.967757952027112
320000 78.125 0.967755526426442
320512 78.25 0.967753108933733
321024 78.375 0.967750698849461
321536 78.5 0.967748296588578
322048 78.625 0.967745903089045
322560 78.75 0.967743519297773
323072 78.875 0.967741146093069
323584 79 0.967738784537886
324096 79.125 0.967736435993378
324608 79.25 0.96773410166282
325120 79.375 0.967731781573457
325632 79.5 0.967729473523806
326144 79.625 0.967727172738822
326656 79.75 0.967724872701602
327168 79.875 0.967722567010358
327680 80 0.967720251511659
328192 80.125 0.967717925742407
328704 80.25 0.967715593008537
329216 80.375 0.967713259083075
329728 80.5 0.967710930171465
330240 80.625 0.967708611116141
330752 80.75 0.967706304624992
331264 80.875 0.967704011711341
331776 81 0.967701732852982
332288 81.125 0.967699468994313
332800 81.25 0.967697221651238
333312 81.375 0.967694991963022
333824 81.5 0.967692779236569
334336 81.625 0.967690579939593
334848 81.75 0.967688387972602
335360 81.875 0.967686196436197
335872 82 0.96768400032173
336384 82.125 0.967681798987646
336896 82.25 0.967679597224629
337408 82.375 0.967677404210228
337920 82.5 0.967675230517588
338432 82.625 0.967673084222869
338944 82.75 0.967670967667888
339456 82.875 0.967668876309081
339968 83 0.967666800302019
340480 83.125 0.967664728323051
340992 83.25 0.967662652128232
341504 83.375 0.967660569988808
342016 83.5 0.967658487622406
342528 83.625 0.967656416328685
343040 83.75 0.96765436919308
343552 83.875 0.967652356897598
344064 84 0.967650384632164
344576 84.125 0.967648450988595
345088 84.25 0.967646548929854
345600 84.375 0.967644668308677
346112 84.5 0.967642799097757
346624 84.625 0.967640934434872
347136 84.75 0.967639072686506
347648 84.875 0.967637217968881
348160 85 0.967635378959453
348672 85.125 0.967633566346272
349184 85.25 0.967631789732431
349696 85.375 0.967630055013736
350208 85.5 0.9676283630486
350720 85.625 0.967626709913694
351232 85.75 0.967625088437866
351744 85.875 0.967623490307969
352256 86 0.967621907988473
352768 86.125 0.967620335943006
353280 86.25 0.967618771012183
353792 86.375 0.967617212104683
354304 86.5 0.967615659503453
354816 86.625 0.967614114087475
355328 86.75 0.967612576692666
355840 86.875 0.967611047751102
356352 87 0.967609527283185
356864 87.125 0.967608015256604
357376 87.25 0.967606512236934
357888 87.375 0.967605020128855
358400 87.5 0.967603542686928
358912 87.625 0.96760208544866
359424 87.75 0.967600654889575
359936 87.875 0.967599256916505
360448 88 0.967597895174273
360960 88.125 0.967596569836984
361472 88.25 0.967595277429805
361984 88.375 0.967594011796009
362496 88.5 0.967592765803298
363008 88.625 0.967591533071037
363520 88.75 0.967590309080822
364032 88.875 0.967589091444069
364544 89 0.967587879568727
365056 89.125 0.967586674197562
365568 89.25 0.967585477169319
366080 89.375 0.967584291415291
366592 89.5 0.967583120912908
367104 89.625 0.967581970272388
367616 89.75 0.967580843837123
368128 89.875 0.967579744477331
368640 90 0.967578672471003
369152 90.125 0.967577624910273
369664 90.25 0.967576595961072
370176 90.375 0.967575578088042
370688 90.5 0.967574564066521
371200 90.625 0.96757354927798
371712 90.75 0.967572533528906
372224 90.875 0.967571521611791
372736 91 0.967570522163217
373248 91.125 0.967569545014418
373760 91.25 0.96756859790956
374272 91.375 0.967567683835505
374784 91.5 0.96756680003913
375296 91.625 0.967565939152696
375808 91.75 0.967565092002054
376320 91.875 0.967564251013671
376832 92 0.96756341292782
377344 92.125 0.967562579818605
377856 92.25 0.96756175807722
378368 92.375 0.967560955785497
378880 92.5 0.96756017951989
379392 92.625 0.967559431853596
379904 92.75 0.967558710555
380416 92.875 0.967558009787919
380928 93 0.96755732277288
381440 93.125 0.967556644741874
381952 93.25 0.967555974908139
382464 93.375 0.967555316634978
382976 93.5 0.967554675802625
383488 93.625 0.967554058157858
384000 93.75 0.967553466840607
384512 93.875 0.96755290116145
385024 94 0.967552357134252
385536 94.125 0.967551829501516
386048 94.25 0.967551314340307
386560 94.375 0.967550811071235
387072 94.5 0.967550322940147
387584 94.625 0.967549855724705
388096 94.75 0.967549415248991
388608 94.875 0.967549004872283
389120 95 0.967548624140384
389632 95.125 0.967548269211357
390144 95.25 0.967547934782395
390656 95.375 0.96754761652233
391168 95.5 0.967547312833063
391680 95.625 0.967547025184635
392192 95.75 0.967546757018494
392704 95.875 0.967546511872066
393216 96 0.967546291640015
393728 96.125 0.967546095709187
394240 96.25 0.967545921260235
394752 96.375 0.967545764553261
395264 96.5 0.967545622667503
395776 96.625 0.967545495009689
396288 96.75 0.967545383964568
396800 96.875 0.967545294347445
397312 97 0.967545231791887
397824 97.125 0.967545200707435
398336 97.25 0.96754520271432
398848 97.375 0.967545236293317
399360 97.5 0.96754529779515
399872 97.625 0.967545383236188
400384 97.75 0.967545489895591
400896 97.875 0.967545616896947
401408 98 0.967545764611749
401920 98.125 0.967545933444995
402432 98.25 0.967546122891215
402944 98.375 0.967546331493358
403456 98.5 0.967546557704615
403968 98.625 0.967546801085578
404480 98.75 0.967547063120377
404992 98.875 0.96754734723936
405504 99 0.967547658121089
406016 99.125 0.967548000668409
406528 99.25 0.967548379047749
407040 99.375 0.967548795949317
407552 99.5 0.967549252011126
408064 99.625 0.967549745324446
408576 99.75 0.967550271081003
409088 99.875 0.967550821565781
409600 100 0.967551386689382
410112 100.125 0.967551955078011
410624 100.25 0.967552515523614
411136 100.375 0.967553058490066
411648 100.5 0.967553577419008
412160 100.625 0.967554069697645
412672 100.75 0.967554537214707
413184 100.875 0.967554986393812
413696 101 0.967555427535753
414208 101.125 0.96755587335897
414720 101.25 0.967556336861444
415232 101.375 0.967556828942436
415744 101.5 0.967557356416814
416256 101.625 0.967557920966906
416768 101.75 0.96755851922184
417280 101.875 0.967559143732032
417792 102 0.967559784368278
418304 102.125 0.967560429742978
418816 102.25 0.967561068530836
419328 102.375 0.967561690817406
419840 102.5 0.967562289618026
420352 102.625 0.967562862461331
420864 102.75 0.967563412593605
421376 102.875 0.967563949184049
421888 103 0.967564486062636
422400 103.125 0.967565038983932
422912 103.25 0.967565621994752
423424 103.375 0.967566243930261
423936 103.5 0.967566906157099
424448 103.625 0.967567602345531
424960 103.75 0.967568320386603
425472 103.875 0.967569045830596
425984 104 0.967569765720953
426496 104.125 0.967570471650422
427008 104.25 0.967571161271644
427520 104.375 0.967571838123299
