# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
156160 38.125 1.50619847665574
156672 38.25 1.50619849167973
157184 38.375 1.50619850671292
157696 38.5 1.50619852175616
158208 38.625 1.50619853680844
158720 38.75 1.50619855186352
159232 38.875 1.50619856695615
159744 39 1.50619858206198
160256 39.125 1.50619859716233
160768 39.25 1.50619861230817
161280 39.375 1.50619862747043
161792 39.5 1.50619864267211
162304 39.625 1.50619865787549
162816 39.75 1.50619867310365
163328 39.875 1.5061986883699
163840 40 1.5061987036613
164352 40.125 1.50619871897899
164864 40.25 1.5061987343408
165376 40.375 1.50619874975252
165888 40.5 1.50619876518323
166400 40.625 1.50619878064903
166912 40.75 1.50619879612518
167424 40.875 1.50619881162969
167936 41 1.50619882714444
168448 41.125 1.50619884267924
168960 41.25 1.50619885820116
169472 41.375 1.50619887369026
169984 41.5 1.50619888920692
170496 41.625 1.5061989047139
171008 41.75 1.50619892019728
171520 41.875 1.50619893565773
172032 42 1.50619895112477
172544 42.125 1.5061989666621
173056 42.25 1.50619898222194
173568 42.375 1.50619899784039
174080 42.5 1.50619901351455
174592 42.625 1.5061990292292
175104 42.75 1.50619904498189
175616 42.875 1.5061990607528
176128 43 1.5061990765701
176640 43.125 1.50619909239821
177152 43.25 1.50619910823725
177664 43.375 1.50619912408235
178176 43.5 1.50619913990777
178688 43.625 1.50619915573856
179200 43.75 1.50619917160064
179712 43.875 1.50619918745348
180224 44 1.50619920331359
180736 44.125 1.50619921919094
181248 44.25 1.50619923514577
181760 44.375 1.50619925114386
182272 44.5 1.50619926720289
182784 44.625 1.50619928334216
183296 44.75 1.50619929949895
183808 44.875 1.50619931563751
184320 45 1.50619933174981
184832 45.125 1.50619934788373
185344 45.25 1.50619936404318
185856 45.375 1.50619938021838
186368 45.5 1.50619939645094
186880 45.625 1.50619941270502
187392 45.75 1.50619942901177
187904 45.875 1.50619944529685
188416 46 1.50619946156709
188928 46.125 1.50619947786572
189440 46.25 1.50619949417656
189952 46.375 1.50619951047727
190464 46.5 1.50619952682301
190976 46.625 1.50619954319809
191488 46.75 1.5061995595649
192000 46.875 1.50619957592219
192512 47 1.5061995923149
193024 47.125 1.5061996087409
193536 47.25 1.50619962522139
194048 47.375 1.50619964172834
194560 47.5 1.50619965827198
195072 47.625 1.50619967482034
195584 47.75 1.50619969133968
196096 47.875 1.5061997078312
196608 48 1.50619972433899
197120 48.125 1.50619974082538
197632 48.25 1.50619975732676
198144 48.375 1.50619977384162
198656 48.5 1.50619979036029
199168 48.625 1.50619980685998
199680 48.75 1.50619982340212
200192 48.875 1.50619983999305
200704 49 1.50619985659237
201216 49.125 1.50619987321715
201728 49.25 1.50619988987874
202240 49.375 1.50619990654429
202752 49.5 1.50619992321304
203264 49.625 1.50619993986796
203776 49.75 1.50619995649094
204288 49.875 1.50619997306202
204800 50 1.50619998957775
205312 50.125 1.50620000610537
205824 50.25 1.50620002266235
206336 50.375 1.50620003924982
206848 50.5 1.50620005589361
207360 50.625 1.5062000725762
207872 50.75 1.50620008925715
208384 50.875 1.50620010596529
208896 51 1.50620012269007
209408 51.125 1.50620013940286
209920 51.25 1.50620015611765
210432 51.375 1.50620017279698
210944 51.5 1.50620018946064
211456 51.625 1.5062002061579
211968 51.75 1.50620022285258
212480 51.875 1.50620023958339
212992 52 1.506200256359
213504 52.125 1.50620027319137
214016 52.25 1.50620029004156
214528 52.375 1.50620030689713
215040 52.5 1.50620032376308
215552 52.625 1.5062003405872
216064 52.75 1.50620035743954
216576 52.875 1.50620037429498
217088 53 1.50620039115439
217600 53.125 1.50620040806313
218112 53.25 1.50620042495725
218624 53.375 1.5062004418829
219136 53.5 1.50620045882738
219648 53.625 1.5062004757891
220160 53.75 1.50620049277848
220672 53.875 1.50620050980931
221184 54 1.50620052687974
221696 54.125 1.50620054395493
222208 54.25 1.50620056102528
222720 54.375 1.50620057809071
223232 54.5 1.50620059516986
223744 54.625 1.50620061224467
224256 54.75 1.50620062933332
224768 54.875 1.50620064646324
225280 55 1.50620066362008
225792 55.125 1.50620068083364
226304 55.25 1.50620069803907
226816 55.375 1.50620071526024
227328 55.5 1.50620073250567
227840 55.625 1.50620074968004
228352 55.75 1.50620076679759
228864 55.875 1.50620078393139
229376 56 1.50620080104118
229888 56.125 1.50620081817177
230400 56.25 1.50620083526572
230912 56.375 1.50620085239165
231424 56.5 1.50620086950423
231936 56.625 1.50620088659577
232448 56.75 1.50620090371438
232960 56.875 1.50620092089182
233472 57 1.50620093807928
233984 57.125 1.50620095526448
234496 57.25 1.5062009724425
235008 57.375 1.50620098963603
235520 57.5 1.50620100681227
236032 57.625 1.50620102400378
236544 57.75 1.5062010412735
237056 57.875 1.50620105857393
237568 58 1.50620107587475
238080 58.125 1.50620109317014
238592 58.25 1.50620111044321
239104 58.375 1.50620112773041
239616 58.5 1.50620114505825
240128 58.625 1.50620116243425
240640 58.75 1.5062011798089
241152 58.875 1.50620119718899
241664 59 1.50620121456605
242176 59.125 1.50620123195092
