# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
85504 20.875 8.99999999999999e-09
86016 21 8.99999999999999e-09
86528 21.125 8.99999999999999e-09
87040 21.25 8.99999999999999e-09
87552 21.375 8.99999999999999e-09
88064 21.5 8.99999999999999e-09
88576 21.625 8.99999999999999e-09
89088 21.75 8.99999999999999e-09
89600 21.875 8.99999999999999e-09
90112 22 8.99999999999999e-09
90624 22.125 8.99999999999999e-09
91136 22.25 8.99999999999999e-09
91648 22.375 8.99999999999999e-09
92160 22.5 8.99999999999999e-09
92672 22.625 8.99999999999999e-09
93184 22.75 8.99999999999999e-09
93696 22.875 8.99999999999999e-09
94208 23 8.99999999999999e-09
94720 23.125 8.99999999999999e-09
95232 23.25 8.99999999999999e-09
95744 23.375 8.99999999999999e-09
96256 23.5 8.99999999999999e-09
96768 23.625 8.99999999999999e-09
97280 23.75 8.99999999999999e-09
97792 23.875 8.99999999999999e-09
98304 24 8.99999999999999e-09
98816 24.125 8.99999999999999e-09
99328 24.25 8.99999999999999e-09
99840 24.375 8.99999999999999e-09
100352 24.5 8.99999999999999e-09
100864 24.625 8.99999999999999e-09
101376 24.75 8.99999999999999e-09
101888 24.875 8.99999999999999e-09
102400 25 8.99999999999999e-09
102912 25.125 8.99999999999999e-09
103424 25.25 8.99999999999999e-09
103936 25.375 8.99999999999999e-09
104448 25.5 8.99999999999999e-09
104960 25.625 8.99999999999999e-09
105472 25.75 8.99999999999999e-09
105984 25.875 8.99999999999999e-09
106496 26 8.99999999999999e-09
107008 26.125 8.99999999999999e-09
107520 26.25 8.99999999999999e-09
108032 26.375 8.99999999999999e-09
108544 26.5 8.99999999999999e-09
109056 26.625 8.99999999999999e-09
109568 26.75 8.99999999999999e-09
110080 26.875 8.99999999999999e-09
110592 27 8.99999999999999e-09
111104 27.125 8.99999999999999e-09
111616 27.25 8.99999999999999e-09
112128 27.375 8.99999999999999e-09
112640 27.5 8.99999999999999e-09
113152 27.625 8.99999999999999e-09
113664 27.75 8.99999999999999e-09
114176 27.875 8.99999999999999e-09
114688 28 8.99999999999999e-09
115200 28.125 8.99999999999999e-09
115712 28.25 8.99999999999999e-09
116224 28.375 8.99999999999999e-09
116736 28.5 8.99999999999999e-09
117248 28.625 8.99999999999999e-09
117760 28.75 8.99999999999999e-09
118272 28.875 8.99999999999999e-09
118784 29 8.99999999999999e-09
119296 29.125 8.99999999999999e-09
119808 29.25 8.99999999999999e-09
120320 29.375 8.99999999999999e-09
120832 29.5 8.99999999999999e-09
121344 29.625 8.99999999999999e-09
121856 29.75 8.99999999999999e-09
122368 29.875 8.99999999999999e-09
122880 30 8.99999999999999e-09
123392 30.125 8.99999999999999e-09
123904 30.25 8.99999999999999e-09
124416 30.375 8.99999999999999e-09
124928 30.5 8.99999999999999e-09
125440 30.625 8.99999999999999e-09
125952 30.75 8.99999999999999e-09
126464 30.875 8.99999999999999e-09
126976 31 8.99999999999999e-09
127488 31.125 8.99999999999999e-09
128000 31.25 8.99999999999999e-09
128512 31.375 8.99999999999999e-09
129024 31.5 8.99999999999999e-09
129536 31.625 8.99999999999999e-09
130048 31.75 8.99999999999999e-09
130560 31.875 8.99999999999999e-09
131072 32 8.99999999999999e-09
131584 32.125 8.99999999999999e-09
132096 32.25 8.99999999999999e-09
132608 32.375 8.99999999999999e-09
133120 32.5 8.99999999999999e-09
133632 32.625 8.99999999999999e-09
134144 32.75 8.99999999999999e-09
134656 32.875 8.99999999999999e-09
135168 33 8.99999999999999e-09
135680 33.125 8.99999999999999e-09
136192 33.25 8.99999999999999e-09
136704 33.375 8.99999999999999e-09
137216 33.5 8.99999999999999e-09
137728 33.625 8.99999999999999e-09
138240 33.75 8.99999999999999e-09
138752 33.875 8.99999999999999e-09
139264 34 8.99999999999999e-09
139776 34.125 8.99999999999999e-09
140288 34.25 8.99999999999999e-09
140800 34.375 8.99999999999999e-09
141312 34.5 8.99999999999999e-09
141824 34.625 8.99999999999999e-09
142336 34.75 8.99999999999999e-09
142848 34.875 8.99999999999999e-09
143360 35 8.99999999999999e-09
143872 35.125 8.99999999999999e-09
144384 35.25 8.99999999999999e-09
144896 35.375 8.99999999999999e-09
145408 35.5 8.99999999999999e-09
145920 35.625 8.99999999999999e-09
146432 35.75 8.99999999999999e-09
146944 35.875 8.99999999999999e-09
147456 36 8.99999999999999e-09
147968 36.125 8.99999999999999e-09
148480 36.25 8.99999999999999e-09
148992 36.375 8.99999999999999e-09
149504 36.5 8.99999999999999e-09
150016 36.625 8.99999999999999e-09
150528 36.75 8.99999999999999e-09
151040 36.875 8.99999999999999e-09
151552 37 8.99999999999999e-09
152064 37.125 8.99999999999999e-09
152576 37.25 8.99999999999999e-09
153088 37.375 8.99999999999999e-09
153600 37.5 8.99999999999999e-09
154112 37.625 8.99999999999999e-09
154624 37.75 8.99999999999999e-09
155136 37.875 8.99999999999999e-09
155648 38 8.99999999999999e-09
156160 38.125 8.99999999999999e-09
156672 38.25 8.99999999999999e-09
157184 38.375 8.99999999999999e-09
157696 38.5 8.99999999999999e-09
158208 38.625 8.99999999999999e-09
158720 38.75 8.99999999999999e-09
159232 38.875 8.99999999999999e-09
159744 39 8.99999999999999e-09
160256 39.125 8.99999999999999e-09
160768 39.25 8.99999999999999e-09
161280 39.375 8.99999999999999e-09
161792 39.5 8.99999999999999e-09
162304 39.625 8.99999999999999e-09
162816 39.75 8.99999999999999e-09
163328 39.875 8.99999999999999e-09
163840 40 8.99999999999999e-09
164352 40.125 8.99999999999999e-09
164864 40.25 8.99999999999999e-09
165376 40.375 8.99999999999999e-09
165888 40.5 8.99999999999999e-09
166400 40.625 8.99999999999999e-09
166912 40.75 8.99999999999999e-09
167424 40.875 8.99999999999999e-09
167936 41 8.99999999999999e-09
168448 41.125 8.99999999999999e-09
168960 41.25 8.99999999999999e-09
169472 41.375 8.99999999999999e-09
169984 41.5 8.99999999999999e-09
170496 41.625 8.99999999999999e-09
171008 41.75 8.99999999999999e-09
171520 41.875 8.99999999999999e-09
172032 42 8.99999999999999e-09
172544 42.125 8.99999999999999e-09
173056 42.25 8.99999999999999e-09
173568 42.375 8.99999999999999e-09
174080 42.5 8.99999999999999e-09
174592 42.625 8.99999999999999e-09
175104 42.75 8.99999999999999e-09
175616 42.875 8.99999999999999e-09
176128 43 8.99999999999999e-09
176640 43.125 8.99999999999999e-09
177152 43.25 8.99999999999999e-09
177664 43.375 8.99999999999999e-09
178176 43.5 8.99999999999999e-09
178688 43.625 8.99999999999999e-09
179200 43.75 8.99999999999999e-09
179712 43.875 8.99999999999999e-09
180224 44 8.99999999999999e-09
180736 44.125 8.99999999999999e-09
181248 44.25 8.99999999999999e-09
181760 44.375 8.99999999999999e-09
182272 44.5 8.99999999999999e-09
182784 44.625 8.99999999999999e-09
183296 44.75 8.99999999999999e-09
183808 44.875 8.99999999999999e-09
184320 45 8.99999999999999e-09
184832 45.125 8.99999999999999e-09
185344 45.25 8.99999999999999e-09
185856 45.375 8.99999999999999e-09
186368 45.5 8.99999999999999e-09
186880 45.625 8.99999999999999e-09
187392 45.75 8.99999999999999e-09
187904 45.875 8.99999999999999e-09
188416 46 8.99999999999999e-09
188928 46.125 8.99999999999999e-09
189440 46.25 8.99999999999999e-09
189952 46.375 8.99999999999999e-09
190464 46.5 8.99999999999999e-09
190976 46.625 8.99999999999999e-09
191488 46.75 8.99999999999999e-09
192000 46.875 8.99999999999999e-09
192512 47 8.99999999999999e-09
193024 47.125 8.99999999999999e-09
193536 47.25 8.99999999999999e-09
194048 47.375 8.99999999999999e-09
194560 47.5 8.99999999999999e-09
195072 47.625 8.99999999999999e-09
195584 47.75 8.99999999999999e-09
196096 47.875 8.99999999999999e-09
196608 48 8.99999999999999e-09
197120 48.125 8.99999999999999e-09
197632 48.25 8.99999999999999e-09
198144 48.375 8.99999999999999e-09
198656 48.5 8.99999999999999e-09
199168 48.625 8.99999999999999e-09
199680 48.75 8.99999999999999e-09
200192 48.875 8.99999999999999e-09
200704 49 8.99999999999999e-09
201216 49.125 8.99999999999999e-09
201728 49.25 8.99999999999999e-09
202240 49.375 8.99999999999999e-09
202752 49.5 8.99999999999999e-09
203264 49.625 8.99999999999999e-09
203776 49.75 8.99999999999999e-09
204288 49.875 8.99999999999999e-09
204800 50 8.99999999999999e-09
205312 50.125 8.99999999999999e-09
205824 50.25 8.99999999999999e-09
206336 50.375 8.99999999999999e-09
206848 50.5 8.99999999999999e-09
207360 50.625 8.99999999999999e-09
207872 50.75 8.99999999999999e-09
208384 50.875 8.99999999999999e-09
208896 51 8.99999999999999e-09
209408 51.125 8.99999999999999e-09
209920 51.25 8.99999999999999e-09
210432 51.375 8.99999999999999e-09
210944 51.5 8.99999999999999e-09
211456 51.625 8.99999999999999e-09
211968 51.75 8.99999999999999e-09
212480 51.875 8.99999999999999e-09
212992 52 8.99999999999999e-09
213504 52.125 8.99999999999999e-09
214016 52.25 8.99999999999999e-09
214528 52.375 8.99999999999999e-09
215040 52.5 8.99999999999999e-09
215552 52.625 8.99999999999999e-09
216064 52.75 8.99999999999999e-09
216576 52.875 8.99999999999999e-09
217088 53 8.99999999999999e-09
217600 53.125 8.99999999999999e-09
218112 53.25 8.99999999999999e-09
218624 53.375 8.99999999999999e-09
219136 53.5 8.99999999999999e-09
219648 53.625 8.99999999999999e-09
220160 53.75 8.99999999999999e-09
220672 53.875 8.99999999999999e-09
221184 54 8.99999999999999e-09
221696 54.125 8.99999999999999e-09
222208 54.25 8.99999999999999e-09
222720 54.375 8.99999999999999e-09
223232 54.5 8.99999999999999e-09
223744 54.625 8.99999999999999e-09
224256 54.75 8.99999999999999e-09
224768 54.875 8.99999999999999e-09
225280 55 8.99999999999999e-09
225792 55.125 8.99999999999999e-09
226304 55.25 8.99999999999999e-09
226816 55.375 8.99999999999999e-09
227328 55.5 8.99999999999999e-09
227840 55.625 8.99999999999999e-09
228352 55.75 8.99999999999999e-09
228864 55.875 8.99999999999999e-09
229376 56 8.99999999999999e-09
229888 56.125 8.99999999999999e-09
230400 56.25 8.99999999999999e-09
230912 56.375 8.99999999999999e-09
231424 56.5 8.99999999999999e-09
231936 56.625 8.99999999999999e-09
232448 56.75 8.99999999999999e-09
232960 56.875 8.99999999999999e-09
233472 57 8.99999999999999e-09
233984 57.125 8.99999999999999e-09
234496 57.25 8.99999999999999e-09
235008 57.375 8.99999999999999e-09
235520 57.5 8.99999999999999e-09
236032 57.625 8.99999999999999e-09
236544 57.75 8.99999999999999e-09
237056 57.875 8.99999999999999e-09
237568 58 8.99999999999999e-09
238080 58.125 8.99999999999999e-09
238592 58.25 8.99999999999999e-09
239104 58.375 8.99999999999999e-09
239616 58.5 8.99999999999999e-09
240128 58.625 8.99999999999999e-09
240640 58.75 8.99999999999999e-09
241152 58.875 8.99999999999999e-09
241664 59 8.99999999999999e-09
242176 59.125 8.99999999999999e-09
242688 59.25 8.99999999999999e-09
243200 59.375 8.99999999999999e-09
243712 59.5 8.99999999999999e-09
244224 59.625 8.99999999999999e-09
244736 59.75 8.99999999999999e-09
245248 59.875 8.99999999999999e-09
245760 60 8.99999999999999e-09
246272 60.125 8.99999999999999e-09
246784 60.25 8.99999999999999e-09
247296 60.375 8.99999999999999e-09
247808 60.5 8.99999999999999e-09
248320 60.625 8.99999999999999e-09
248832 60.75 8.99999999999999e-09
249344 60.875 8.99999999999999e-09
249856 61 8.99999999999999e-09
250368 61.125 8.99999999999999e-09
250880 61.25 8.99999999999999e-09
251392 61.375 8.99999999999999e-09
251904 61.5 8.99999999999999e-09
252416 61.625 8.99999999999999e-09
252928 61.75 8.99999999999999e-09
253440 61.875 8.99999999999999e-09
253952 62 8.99999999999999e-09
254464 62.125 8.99999999999999e-09
254976 62.25 8.99999999999999e-09
255488 62.375 8.99999999999999e-09
256000 62.5 8.99999999999999e-09
256512 62.625 8.99999999999999e-09
257024 62.75 8.99999999999999e-09
257536 62.875 8.99999999999999e-09
258048 63 8.99999999999999e-09
258560 63.125 8.99999999999999e-09
259072 63.25 8.99999999999999e-09
259584 63.375 8.99999999999999e-09
260096 63.5 8.99999999999999e-09
260608 63.625 8.99999999999999e-09
261120 63.75 8.99999999999999e-09
261632 63.875 8.99999999999999e-09
262144 64 8.99999999999999e-09
262656 64.125 8.99999999999999e-09
