# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
149504 36.5 3.6439840316255e-18 2.66442875717159e-18 3.58692365625015e-24
150016 36.625 3.90082424804957e-18 2.53039887735635e-18 5.88763717695398e-24
150528 36.75 4.78461125327822e-18 3.321983237649e-18 8.24610066478449e-24
151040 36.875 3.65133170058852e-18 3.20918621266239e-18 7.86126894263397e-24
151552 37 3.09017132907729e-18 3.75041242789613e-18 5.7403748435117e-24
152064 37.125 3.46275601680479e-18 4.53766515758342e-18 4.50313635262746e-24
152576 37.25 3.28945141431826e-18 4.35348298764491e-18 3.85223852394928e-24
153088 37.375 3.41456294021105e-18 3.60052117407999e-18 4.63859585964671e-24
153600 37.5 4.08572232966326e-18 5.18779753643775e-18 6.47519053864029e-24
154112 37.625 3.11850138977369e-18 6.16813133162696e-18 5.28525022019313e-24
154624 37.75 3.16660835087564e-18 6.59579602807757e-18 5.47001582284854e-24
155136 37.875 3.57288433157179e-18 6.78297003006652e-18 5.66014452326762e-24
155648 38 3.29415856168951e-18 6.31498448035822e-18 4.78023348852361e-24
156160 38.125 4.29222808151262e-18 6.05254830098691e-18 5.31290163380976e-24
156672 38.25 3.56192570669711e-18 5.25928192363994e-18 4.47516591413663e-24
157184 38.375 3.74231440254949e-18 6.09822729233521e-18 4.50461661917797e-24
157696 38.5 2.86806635669616e-18 6.48515021384976e-18 3.37820159823308e-24
158208 38.625 2.96207480869317e-18 6.11830836256879e-18 5.14139110058022e-24
158720 38.75 3.85613263752277e-18 5.59602184660092e-18 5.10412223548482e-24
159232 38.875 3.61853863496489e-18 5.80839464412584e-18 5.23115510321373e-24
159744 39 4.5632167802865e-18 5.7110321777067e-18 5.12481244204669e-24
160256 39.125 3.84065334425705e-18 5.58269491783418e-18 7.03049886582522e-24
160768 39.25 3.85769608417396e-18 4.61819742567763e-18 9.98321795985811e-24
161280 39.375 4.76025082063277e-18 4.88735139593562e-18 6.69570155787542e-24
161792 39.5 4.27321986426817e-18 5.59940033676856e-18 7.20016324681814e-24
162304 39.625 4.4912680569432e-18 4.79290883650883e-18 7.71551517929245e-24
162816 39.75 4.2193058717802e-18 3.79333469880173e-18 7.84962314245959e-24
163328 39.875 3.56492940064617e-18 3.44613816970787e-18 7.3179191194071e-24
163840 40 3.26930205199551e-18 4.09309152486119e-18 1.25228434580174e-23
164352 40.125 3.70100165783268e-18 4.21282454061579e-18 1.02049974202355e-23
164864 40.25 3.83847475457733e-18 4.82547821006567e-18 1.15449523954394e-23
165376 40.375 4.56498792503155e-18 4.64867164661081e-18 8.04667399593661e-24
165888 40.5 4.9448453721178e-18 4.0761860774908e-18 7.89761947247597e-24
166400 40.625 3.97140028885242e-18 3.12421871078245e-18 8.55105880239282e-24
166912 40.75 4.56153461209771e-18 2.83617404796637e-18 6.73319147643616e-24
167424 40.875 4.02215489762442e-18 2.49066460743765e-18 6.72221156270163e-24
167936 41 4.04774353848803e-18 2.54693801816175e-18 7.4599659824597e-24
168448 41.125 4.40859353040655e-18 2.90237319773544e-18 7.05705412048798e-24
168960 41.25 4.18248872736694e-18 1.93039770765312e-18 6.76861003607513e-24
169472 41.375 4.02145850131735e-18 2.23345086837239e-18 6.44368880433739e-24
