# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
33792 8.25 -0.0757627586450138 -0.0757627586451313 -0.075762758645058
34304 8.375 -0.076700600918005 -0.0767006009181341 -0.0767006009180875
34816 8.5 -0.0776180665295376 -0.0776180665296792 -0.0776180665296771
35328 8.625 -0.0785149843054748 -0.0785149843055974 -0.0785149843056746
35840 8.75 -0.079391168114498 -0.0793911681145568 -0.0793911681147265
36352 8.875 -0.0802464326976008 -0.0802464326975725 -0.0802464326978124
36864 9 -0.0810805907493928 -0.0810805907492849 -0.0810805907495524
37376 9.125 -0.0818933028537411 -0.0818933028535939 -0.0818933028538479
37888 9.25 -0.0826842101106305 -0.0826842101105117 -0.0826842101107243
38400 9.375 -0.0834531487563953 -0.0834531487563562 -0.0834531487565007
38912 9.5 -0.0842000227272048 -0.0842000227272349 -0.084200022727281
39424 9.625 -0.0849247610592325 -0.0849247610592737 -0.0849247610592258
39936 9.75 -0.0856272717060962 -0.0856272717060957 -0.0856272717060125
40448 9.875 -0.0863074698864879 -0.0863074698864161 -0.0863074698863591
40960 10 -0.0869653094729708 -0.0869653094728114 -0.0869653094728068
41472 10.125 -0.0876007660107679 -0.0876007660105244 -0.0876007660105926
41984 10.25 -0.0882138102036668 -0.0882138102033678 -0.0882138102035241
42496 10.375 -0.0888043958849078 -0.0888043958845846 -0.0888043958848006
43008 10.5 -0.0894158785204253 -0.0894158785200466 -0.0894158785202516
43520 10.625 -0.0902447828230227 -0.0902447828226088 -0.0902447828227783
44032 10.75 -0.0910520812390383 -0.09105208123861 -0.0910520812387241
44544 10.875 -0.0918381448469384 -0.0918381448464987 -0.0918381448465369
45056 11 -0.0926031712693533 -0.0926031712688933 -0.0926031712688755
45568 11.125 -0.0933476052752928 -0.0933476052748091 -0.0933476052747821
46080 11.25 -0.0940719998175057 -0.0940719998170051 -0.0940719998170011
46592 11.375 -0.0947768165810619 -0.0947768165805503 -0.0947768165805886
47104 11.5 -0.0954624047000714 -0.0954624046995519 -0.0954624046996536
47616 11.625 -0.0961289027762189 -0.0961289027756962 -0.0961289027758694
48128 11.75 -0.0967762398559015 -0.0967762398553657 -0.0967762398555984
48640 11.875 -0.0974042377108206 -0.0974042377102365 -0.0974042377105123
49152 12 -0.0980127069326573 -0.09801270693199 -0.0980127069322932
49664 12.125 -0.0986014699277119 -0.0986014699269522 -0.0986014699272548
50176 12.25 -0.099170522000319 -0.0991705219994803 -0.0991705219997413
50688 12.375 -0.099950505491355 -0.0999505054903914 -0.0999505054905004
51200 12.5 -0.1007157442769 -0.100715744275914 -0.100715744276044
51712 12.625 -0.101462616127913 -0.101462616126916 -0.101462616127114
52224 12.75 -0.102191151463083 -0.102191151461994 -0.102191151462229
52736 12.875 -0.102901259176671 -0.102901259175604 -0.102901259175815
53248 13 -0.103592748488277 -0.103592748487803 -0.10359274848798
53760 13.125 -0.104309634264768 -0.104309634977379 -0.104309635007883
54272 13.25 -0.105108789343145 -0.105108789439103 -0.105108787876164
54784 13.375 -0.105886576266111 -0.10588657641333 -0.105886572848064
55296 13.5 -0.106642980835929 -0.106642981039335 -0.106642975730573
55808 13.625 -0.10737809236637 -0.107378092745495 -0.107378085866903
56320 13.75 -0.108092278968345 -0.108092279779784 -0.108092271468058
56832 13.875 -0.108785448773028 -0.108785450360144 -0.108785440714037
57344 14 -0.109457426168339 -0.10945742898071 -0.109457418137662
57856 14.125 -0.110108172726442 -0.110108176903323 -0.110108165038881
58368 14.25 -0.110737751743287 -0.110737757027133 -0.110737744370479
58880 14.375 -0.111346230731644 -0.111346236831322 -0.111346223670512
59392 14.5 -0.111933571751347 -0.111933577735625 -0.111933564320685
59904 14.625 -0.112545360484431 -0.112545360492513 -0.11254536049472
60416 14.75 -0.113186918210988 -0.113186918222052 -0.113186918224794
60928 14.875 -0.113807373676563 -0.113807373691256 -0.113807373694652
61440 15 -0.114406215988867 -0.114406216008008 -0.114406216012031
61952 15.125 -0.114982871341658 -0.114982871365546 -0.114982871370068
62464 15.25 -0.115711169271527 -0.115711169268393 -0.115711169269118
62976 15.375 -0.116670162832349 -0.116670162829212 -0.116670162829843
63488 15.5 -0.117613471639034 -0.117613471635962 -0.117613471636694
64000 15.625 -0.118540798009227 -0.118540798006791 -0.118540798007692
64512 15.75 -0.119451871780679 -0.119451871779413 -0.119451871780725
65024 15.875 -0.120346445067094 -0.120346445066872 -0.120346445069574
65536 16 -0.121224263582776 -0.121224263581637 -0.121224263588983
66048 16.125 -0.122085057701459 -0.122085057692018 -0.122085057714229
66560 16.25 -0.122938745452437 -0.122938745448737 -0.122938745449068
67072 16.375 -0.123778405907341 -0.123778405903362 -0.123778405903709
67584 16.5 -0.12460044765225 -0.124600447647876 -0.124600447648453
68096 16.625 -0.125404493285928 -0.125404493280999 -0.125404493282214
68608 16.75 -0.126190107213898 -0.126190107208516 -0.126190107210437
69120 16.875 -0.126956802852092 -0.126956802846551 -0.126956802848969
69632 17 -0.127704061839487 -0.127704061834088 -0.12770406183702
70144 17.125 -0.128431334313142 -0.128431334308547 -0.128431334311991
70656 17.25 -0.1291380153442 -0.129138015341262 -0.129138015345164
71168 17.375 -0.129823422625469 -0.129823422624918 -0.129823422629195
71680 17.5 -0.130486776445086 -0.13048677644794 -0.13048677645239
72192 17.625 -0.131127076998011 -0.131127077006057 -0.131127077010143
