# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
84992 20.75 0.0019482005560388 0.00194820055440822 0.00194820055322382
85504 20.875 0.0019654861392642 0.00196548613754384 0.00196548613648242
86016 21 0.00198267809223321 0.00198267809119815 0.00198267809054847
86528 21.125 0.00199966276742192 0.00199966276780349 0.00199966276762742
87040 21.25 0.00201637338177131 0.00201637338352054 0.00201637338385213
87552 21.375 0.00203280427803542 0.00203280428002604 0.00203280428082488
88064 21.5 0.00204899495061913 0.00204899495137602 0.00204899495243214
88576 21.625 0.00206498676679523 0.00206498676566526 0.00206498676682033
89088 21.75 0.00208079391243819 0.00208079390999876 0.00208079391134372
89600 21.875 0.00209642010987198 0.00209642010733793 0.00209642010886535
90112 22 0.00211189721643581 0.00211189721500766 0.00211189721621044
90624 22.125 0.0021272978086217 0.00212729780926724 0.00212729780957606
91136 22.25 0.00214271136897247 0.00214271137195898 0.00214271137156441
91648 22.375 0.00215821267166037 0.00215821267569642 0.00215821267538623
92160 22.5 0.00217384417426491 0.00217384417677489 0.00217384417684705
92672 22.625 0.00218961195102374 0.00218961195042643 0.0021896119503211
93184 22.75 0.00220549241163595 0.00220549240936117 0.00220549240859672
93696 22.875 0.0022214476276338 0.00222144762682208 0.00222144762578706
94208 23 0.00223743601465516 0.00223743601645946 0.00223743601595815
94720 23.125 0.00225340826203411 0.0022534082640864 0.00225340826449008
95232 23.25 0.00226930253479442 0.00226930253404079 0.00226930253518488
95744 23.375 0.00228505910577545 0.00228505910223663 0.00228505910379579
96256 23.5 0.00230064861642948 0.00230064861318447 0.0023006486148287
96768 23.625 0.00231609037530815 0.00231609037483836 0.00231609037633511
97280 23.75 0.00233145054858244 0.00233145055006566 0.00233145055157416
97792 23.875 0.00234682601819212 0.00234682601876439 0.00234682602076814
98304 24 0.00236231714880617 0.00236231714671727 0.00236231714932555
98816 24.125 0.00237799028364109 0.00237799027941907 0.00237799028201791
99328 24.25 0.00239384237416119 0.00239384236921041 0.00239384237121963
99840 24.375 0.0024097907370689 0.00240979073233119 0.00240979073399094
100352 24.5 0.00242570352420126 0.0024257035203557 0.00242570352213989
100864 24.625 0.00244146011389739 0.00244146011182189 0.00244146011327432
101376 24.75 0.00245700210978074 0.00245700211009497 0.00245700211007728
101888 24.875 0.00247233763471859 0.00247233763707807 0.00247233763529792
102400 25 0.00248750514952953 0.00248750515252854 0.00248750515011806
102912 25.125 0.00250254024919527 0.00250254025085334 0.00250254024920783
103424 25.25 0.00251746842195186 0.00251746842077881 0.00251746842036622
103936 25.375 0.00253230004883336 0.00253230004520502 0.00253230004562484
104448 25.5 0.00254700478461543 0.00254700478097226 0.00254700478160322
104960 25.625 0.00256148910353293 0.00256148910249628 0.00256148910304088
105472 25.75 0.00257561888547775 0.00257561888774915 0.00257561888880449
105984 25.875 0.00258928835215361 0.00258928835659762 0.00258928835971934
106496 26 0.00260248946588067 0.00260248947109273 0.00260248947744278
107008 26.125 0.00261533578955128 0.00261533579437715 0.00261533580289208
107520 26.25 0.00262803573659637 0.00262803573930551 0.00262803574665721
108032 26.375 0.00264084642764649 0.00264084642587572 0.00264084642869937
108544 26.5 0.00265403571384747 0.00265403570635924 0.00265403570373167
109056 26.625 0.00266784729139465 0.00266784727997495 0.00266784727409096
109568 26.75 0.00268245050766866 0.00268245049670477 0.00268245049138388
110080 26.875 0.00269788470805057 0.00269788470143279 0.0026978846995654
110592 27 0.00271403602769982 0.00271403602576202 0.0027140360275603
111104 27.125 0.00273066679213518 0.00273066679188809 0.00273066679533041
111616 27.25 0.00274747618409808 0.0027474761825013 0.00274747618545182
112128 27.375 0.00276415913684127 0.00276415913332134 0.00276415913528582
112640 27.5 0.00278045244167911 0.00278045243752574 0.00278045243961619
113152 27.625 0.00279617276873816 0.00279617276514656 0.002796172768615
113664 27.75 0.00281124377427315 0.00281124377138098 0.00281124377614805
114176 27.875 0.00282570024940321 0.0028257002461047 0.00282570025057489
114688 28 0.00283966488461983 0.00283966487866503 0.00283966488111646
115200 28.125 0.00285330976815067 0.00285330975760777 0.00285330975800962
115712 28.25 0.00286682149575549 0.00286682148152658 0.0028668214818454
116224 28.375 0.0028803788496773 0.0028803788360468 0.00288037883815771
116736 28.5 0.00289413683322134 0.00289413682505224 0.0028941368279805
117248 28.625 0.00290820672890486 0.0029082067283457 0.0029082067281797
117760 28.75 0.00292263093864704 0.00292263094437739 0.00292263093802043
118272 28.875 0.00293736183293692 0.00293736184136514 0.00293736183063446
118784 29 0.00295225708229942 0.00295225708887099 0.00295225708009107
119296 29.125 0.00296710114123389 0.00296710114195468 0.0029671011408684
119808 29.25 0.00298165586979745 0.00298165586344142 0.0029816558704785
120320 29.375 0.00299573186675101 0.00299573185601252 0.00299573186620403
120832 29.5 0.00300925771918703 0.00300925770864539 0.00300925771541981
121344 29.625 0.00302231584801483 0.0030223158401353 0.00302231583929073
121856 29.75 0.00303512276689217 0.00303512276020501 0.00303512275153736
122368 29.875 0.00304795891052282 0.00304795890209817 0.00304795888851683
122880 30 0.00306107858888354 0.00306107857816876 0.00306107856342139
123392 30.125 0.00307463298173964 0.00307463297127032 0.00307463295792099
123904 30.25 0.00308862496629853 0.00308862495895285 0.00308862494816444
124416 30.375 0.00310290545596147 0.00310290545247154 0.00310290544548395
124928 30.5 0.00311721645242916 0.00311721645140856 0.00311721645024734
125440 30.625 0.00313127136480851 0.00313127136398226 0.00313127136958998
125952 30.75 0.00314484592100946 0.00314484591831204 0.00314484592849024
126464 30.875 0.00315785258862779 0.00315785258326169 0.00315785259411334
126976 31 0.00317038010582855 0.00317038009829359 0.00317038010770023
127488 31.125 0.00318267917133812 0.00318267916169087 0.00318267916975914
128000 31.25 0.0031950805498596 0.00319508053752926 0.00319508054384047
128512 31.375 0.0032078672096955 0.003207867197631 0.00320786720027286
129024 31.5 0.00322116325902078 0.00322116325659464 0.00322116325395386
129536 31.625 0.00323489751584732 0.00323489753309665 0.0032348975241544
130048 31.75 0.00324884762800743 0.00324884766570993 0.0032488476486554
130560 31.875 0.00326272801956149 0.00326272806716885 0.00326272804135042
131072 32 0.0032762859933435 0.0032762860364588 0.00327628600721077
131584 32.125 0.00328938675668073 0.00328938678444169 0.00328938676271526
132096 32.25 0.0033020639072363 0.00330206391477187 0.00330206390853111
132608 32.375 0.00331450335933396 0.00331450334916962 0.00331450335520976
133120 32.5 0.00332695577721847 0.00332695576031299 0.00332695576609352
133632 32.625 0.00333962473619264 0.00333962472732722 0.00333962472130743
134144 32.75 0.00335259428950014 0.00335259429690517 0.00335259427739148
134656 32.875 0.00336581726214223 0.0033658172807748 0.00336581725615966
135168 33 0.00337914064739469 0.00337914066404662 0.0033791406460377
135680 33.125 0.00339235014739132 0.00339235015306848 0.00339235014947346
136192 33.25 0.00340524035121143 0.0034052403470502 0.00340524035861113
136704 33.375 0.00341770105323143 0.00341770104412046 0.00341770106514115
137216 33.5 0.00342977147517097 0.00342977146197998 0.0034297714827484
137728 33.625 0.00344162032316832 0.00344162030559351 0.00344162031603376
138240 33.75 0.00345346480455411 0.00345346478864273 0.00345346478305219
138752 33.875 0.00346548007471787 0.00346548007089141 0.00346548005144344
139264 34 0.00347773939996152 0.00347773941306968 0.00347773938838958
139776 34.125 0.00349019842555318 0.00349019845104578 0.00349019842946987
140288 34.25 0.00350272276249246 0.00350272279150993 0.00350272277498194
140800 34.375 0.00351514588632379 0.0035151459097781 0.00351514589554089
141312 34.5 0.00352733017068579 0.00352733017987769 0.00352733016831016
141824 34.625 0.00353920679564876 0.00353920678616039 0.00353920678398528
142336 34.75 0.00355079003825067 0.00355079001537808 0.00355079002822647
142848 34.875 0.00356217179303677 0.00356217176875138 0.00356217179135958
143360 35 0.0035734955385254 0.00357349552091385 0.00357349553765903
143872 35.125 0.00358490766495888 0.00358490765350102 0.00358490765070174
144384 35.25 0.0035964993782558 0.0035964993695967 0.00359649934833747
144896 35.375 0.00360826658036994 0.00360826657318855 0.00360826655017879
145408 35.5 0.00362010992214179 0.00362010991324257 0.00362010990735099
145920 35.625 0.0036318759304702 0.00363187591167514 0.00363187592744887
146432 35.75 0.00364341884599167 0.00364341881269056 0.003643418836743
146944 35.875 0.00365465537155549 0.00365465533367905 0.00365465534762316
147456 36 0.00366559378084698 0.00366559375770454 0.00366559375450774
147968 36.125 0.0036763328621626 0.00367633286369511 0.00367633285277351
148480 36.25 0.00368703038697292 0.00368703040537464 0.00368703040419875
148992 36.375 0.0036978409097393 0.00369784093136705 0.00369784095084492
149504 36.5 0.00370883959070224 0.00370883960948173 0.00370883964264058
150016 36.625 0.00371997735858106 0.00371997737486316 0.00371997739893468
150528 36.75 0.00373110970172713 0.00373110971668306 0.00373110971210117
151040 36.875 0.00374208465870527 0.00374208467669595 0.00374208464832386
151552 37 0.00375281896475852 0.00375281899459328 0.00375281897074732
152064 37.125 0.00376330870663612 0.00376330875171702 0.00376330875719476
152576 37.25 0.00377359605610405 0.00377359610622783 0.00377359613780161
153088 37.375 0.00378374830266284 0.00378374834273317 0.00378374837527919
153600 37.5 0.00379385850732454 0.00379385853236738 0.00379385854662482
154112 37.625 0.00380402795863241 0.00380402797345548 0.00380402797176215
154624 37.75 0.00381431589988765 0.00381431590431804 0.00381431590104263
155136 37.875 0.00382469784007806 0.00382469782228549 0.0038246978278333
155648 38 0.0038350728311651 0.00383507278108328 0.00383507279719449
156160 38.125 0.0038453106244287 0.00384531055173358 0.00384531057328942
156672 38.25 0.00385530631534758 0.00385530624768024 0.00385530626298952
157184 38.375 0.00386502495715908 0.00386502491686248 0.00386502491297297
157696 38.5 0.00387452271273377 0.00387452269916866 0.00387452267634108
158208 38.625 0.00388392323642148 0.00388392323739379 0.00388392321608438
158720 38.75 0.00389335299533157 0.00389335301206598 0.00389335301536436
159232 38.875 0.00390288232398715 0.00390288237063008 0.00390288239730638
159744 39 0.00391251206796457 0.00391251214154325 0.00391251216498917
160256 39.125 0.00392219104387338 0.00392219111032388 0.0039221911093201
160768 39.25 0.00393182961387976 0.00393182963866228 0.00393182962223902
161280 39.375 0.00394131385604129 0.00394131384057269 0.00394131383470988
161792 39.5 0.0039505467200759 0.00395054669411255 0.00395054670802733
162304 39.625 0.00395950280298345 0.00395950278876955 0.00395950280406961
162816 39.75 0.00396824632158209 0.00396824632027822 0.00396824631499416
163328 39.875 0.00397689118500011 0.00397689118975716 0.00397689116656147
163840 40 0.00398553801847818 0.00398553802140203 0.0039855380076553
164352 40.125 0.0039942323709208 0.00399423236019942 0.00399423238135978
164864 40.25 0.00400295485764189 0.00400295482609208 0.00400295488034807
165376 40.375 0.00401163337994854 0.00401163333944368 0.00401163339606026
165888 40.5 0.00402017395610358 0.00402017393289159 0.00402017395442641
166400 40.625 0.00402850668213056 0.00402850669458014 0.00402850666718828
166912 40.75 0.00403662480197615 0.00403662484668255 0.00403662479580592
167424 40.875 0.00404458777524909 0.00404458783468693 0.0040445878063258
167936 41 0.00405248419983405 0.00405248426043733 0.00405248427666657
168448 41.125 0.00406038280543828 0.0040603828660486 0.00406038290175187
168960 41.25 0.00406830228157909 0.00406830234361331 0.0040683023580195
169472 41.375 0.00407620552998072 0.0040762055848907 0.00407620557135331
169984 41.5 0.00408400819135003 0.00408400822743412 0.00408400821636874
170496 41.625 0.00409160140079157 0.00409160142180075 0.00409160143765272
171008 41.75 0.00409889569683094 0.00409889572205006 0.00409889575722024
171520 41.875 0.00410587153992118 0.00410587158197297 0.00410587161487718
172032 42 0.00411259908407014 0.00411259913600628 0.00411259915449508
